Start daregram c4->c1 seed=44 init_sha256=89dfa364cd019ad173319c7a8f775c661ec83f1938e80b69a1848714796075c4
daregram epoch=1/50 source_MSE=11034.237500 gram=13.522350 source_order_sha256=59bfcbf6051bd926f7f3785471f455c49b4b10a74bfe01e32c1d67682c63dc4f target_unique=315
daregram epoch=2/50 source_MSE=9821.920898 gram=22.295160 source_order_sha256=0ac560bfcb444211037a9a7d59aed95f3919c2bf54a14d9e4145b228437420d4 target_unique=315
daregram epoch=3/50 source_MSE=9156.697852 gram=19.202538 source_order_sha256=db748945ab47cb5cfa2e71f3bc2d7299e7541c35081174abd78d403135977eba target_unique=315
daregram epoch=4/50 source_MSE=8523.584668 gram=31.063478 source_order_sha256=1582ef3106a15a344390e2abd10ca5ed8f72a4d37449c7babee3238f7547edb4 target_unique=315
daregram epoch=5/50 source_MSE=7952.251172 gram=29.624644 source_order_sha256=080734e2c6419fa2f45cb3fc366d77af252f8393ff69cff18e66ee20946a75bc target_unique=315
daregram epoch=6/50 source_MSE=7297.061230 gram=44.565852 source_order_sha256=a66d204c747a526a7505a23383f5a424406aafe9772c33b27211e085c531231e target_unique=315
daregram epoch=7/50 source_MSE=6763.996289 gram=25.952715 source_order_sha256=cf51679d1d44835535bf8ed948dcb3bd8c77bffe971c9c54c8e3fdd1b7c03558 target_unique=315
daregram epoch=8/50 source_MSE=6119.007715 gram=26.950174 source_order_sha256=47f50d37548c2abcb38aeb5d81933b5268f60e6dfc5152c19eb8afa9422fef89 target_unique=315
daregram epoch=9/50 source_MSE=5547.737695 gram=35.238963 source_order_sha256=9694a6b88426d6ca65830e51ea075104b8b7b994587790e9311a50a3e13cc017 target_unique=315
daregram epoch=10/50 source_MSE=4947.076318 gram=29.511423 source_order_sha256=7c950da3a5093c62a5770637e0866c5d16d734121906f4eb33e704848df3be26 target_unique=315
daregram epoch=11/50 source_MSE=4342.590332 gram=28.318283 source_order_sha256=4cba05bc77c379eb900c7b60ba56f43181c22900189067e2e791f7825b766545 target_unique=315
daregram epoch=12/50 source_MSE=3860.680957 gram=27.300196 source_order_sha256=77d2ac0c000a842ae8d8d374584cd7a1eae83492b895c237914af8a34acf9752 target_unique=315
daregram epoch=13/50 source_MSE=3313.426611 gram=48.669433 source_order_sha256=ff0984b65c36d66b08aeb3407e12b6e7c5e8df2ad7e3576a44c666ef0b901a97 target_unique=315
daregram epoch=14/50 source_MSE=2843.126563 gram=42.559191 source_order_sha256=bfe8d8a2be0262f550bcc748c645505bce7273fc4129f6e58a29cd47b2f360d8 target_unique=315
daregram epoch=15/50 source_MSE=2367.082861 gram=30.589006 source_order_sha256=ccf25dc73854445fee3eff0c68c8e2a5ba22bdaa9393427a709526967666fc6d target_unique=315
daregram epoch=16/50 source_MSE=1949.024951 gram=11.900345 source_order_sha256=4a1bb914bc57fa90cc02cacb1af8ba55394309842d7049084e9a26227e07d596 target_unique=315
daregram epoch=17/50 source_MSE=1595.914160 gram=28.723568 source_order_sha256=a46d915f1b0146484e1e3cd9cc10f6d6f3d78a743b275bcaaa50b31264bca9cf target_unique=315
daregram epoch=18/50 source_MSE=1274.138538 gram=47.072303 source_order_sha256=38e994fecfede5c7c6f41ba8e6388ce2760c7240ffab0316fa129b9ba444fda8 target_unique=315
daregram epoch=19/50 source_MSE=994.913721 gram=44.803130 source_order_sha256=04e599520815e51951d81d4d24e2a7875feb53a2094c3677ea93ccdf3994ac80 target_unique=315
daregram epoch=20/50 source_MSE=804.090015 gram=22.219116 source_order_sha256=de5fd97bb30894179b3cfd7cdb16b19c9f09491d3bcd4042e878f3421dc40c3d target_unique=315
daregram epoch=21/50 source_MSE=644.046985 gram=19.601767 source_order_sha256=1b882e7da9f3c105e8cbcb5363706b7d3967ad0f366ff45e96a5044aa7fc28ce target_unique=315
daregram epoch=22/50 source_MSE=520.722382 gram=20.390539 source_order_sha256=97417e0867d404037a07a78ca83dea596428245191207d2b1aee4c2cab2f446b target_unique=315
daregram epoch=23/50 source_MSE=379.632986 gram=14.159241 source_order_sha256=786697b0ecfaf0de92a7b8aa2e7c3da62253a8f7dc13e32119d64529da4245f2 target_unique=315
daregram epoch=24/50 source_MSE=274.694763 gram=23.449834 source_order_sha256=f6f69b2cb88fcfec4ce16239a3e3f99117ae938034a07bafe5a83c6fbb3d00ef target_unique=315
daregram epoch=25/50 source_MSE=185.638436 gram=8.200821 source_order_sha256=f30f6f7bdafe8c7d85245649c32b28dce7531c872bf82d5003175a733f191fc1 target_unique=315
daregram epoch=26/50 source_MSE=134.019101 gram=10.994199 source_order_sha256=9c4c12430b8b983a23b015eb88d9acb15a68160b2b76b3e5a48afb74667637af target_unique=315
daregram epoch=27/50 source_MSE=121.064397 gram=13.388790 source_order_sha256=91028039ca81432afa4f8e92dc2c66cc6bb927b03e89dd1d6ac22012595b7df3 target_unique=315
daregram epoch=28/50 source_MSE=65.062605 gram=9.930510 source_order_sha256=d689825f6f08757dda6e3ad569687251d2ee91585d1fcf22c0d1a335409a12ee target_unique=315
daregram epoch=29/50 source_MSE=49.539366 gram=18.365530 source_order_sha256=cd685e0666a14a81ffdca359777ec83d12a0897d6785501cb3d57bde2e5b0078 target_unique=315
daregram epoch=30/50 source_MSE=53.825113 gram=11.389946 source_order_sha256=14e8d20d6a62e085b251215652479aa7e93108f7823be09a65c7c4fb61382a63 target_unique=315
daregram epoch=31/50 source_MSE=61.234584 gram=17.617219 source_order_sha256=825c68c2cc8fb233306c23f931f2dd69bbe34849326b573bc22a21a0aa495100 target_unique=315
daregram epoch=32/50 source_MSE=22.116279 gram=13.612699 source_order_sha256=bc5bbb79413fec48b46bdad14da01be62d8598fd0f20889daa9540e6dfad00f8 target_unique=315
daregram epoch=33/50 source_MSE=74.743489 gram=7.237717 source_order_sha256=0eb1804a2dbcd64afa1c7cfe22eff0def5e444a40ef3a7bc30bbb1167608fd91 target_unique=315
daregram epoch=34/50 source_MSE=74.101868 gram=13.997885 source_order_sha256=57b75c4082570155702a684f516fd0f1b6b0bc090f81d4d175c738e36d3f9a7c target_unique=315
daregram epoch=35/50 source_MSE=38.223967 gram=9.497044 source_order_sha256=719a401b4e74a3a2e427da255f507743b77e550e34c9410f57b9e129e8cf3d80 target_unique=315
daregram epoch=36/50 source_MSE=33.533664 gram=13.882548 source_order_sha256=0faa198d53a6e97178d4db2e1430bec3b859cb58bac53ab3c0421aa264f4ff63 target_unique=315
daregram epoch=37/50 source_MSE=54.105700 gram=10.133484 source_order_sha256=18f168ed60342aae13340285db598369fdb37ad3e7282d2d8aed149620ef5ee5 target_unique=315
daregram epoch=38/50 source_MSE=40.276328 gram=11.688450 source_order_sha256=777e0afb2f89f539c49283805b41fff13cded9522df0fe0cf3dce6e13bd6883a target_unique=315
daregram epoch=39/50 source_MSE=27.050798 gram=17.204107 source_order_sha256=e61f1a07c527242059de0223d97a1599158e32ecadb43d33b0c1608c7a535230 target_unique=315
daregram epoch=40/50 source_MSE=22.375413 gram=15.305692 source_order_sha256=feefeb0c6281d3cf4c56116b93aafeeedcc9eb0b7c1182af3b83a3bbddd291c0 target_unique=315
daregram epoch=41/50 source_MSE=31.705747 gram=5.121165 source_order_sha256=da39e997627fd9df15e35f453ee5afc648418a6e2e5b43be7f6a0d3d85778615 target_unique=315
daregram epoch=42/50 source_MSE=19.696937 gram=12.604431 source_order_sha256=86a04d9ecafc9ea121a41b1fc57cbe2b4803235922772183f6c093397395e72b target_unique=315
daregram epoch=43/50 source_MSE=23.957872 gram=7.736145 source_order_sha256=43938ced2426fc5b171f3f093562d9e44ab35152ce2e8599df6a101b4a24e7f3 target_unique=315
daregram epoch=44/50 source_MSE=15.452635 gram=12.231906 source_order_sha256=980c3b10764cfe66bd75d55694b18d6228528012da2c04821f9724905356bb8f target_unique=315
daregram epoch=45/50 source_MSE=30.902073 gram=16.453070 source_order_sha256=237ee7c8cb3463980d67fb4e2ce4ee168d6fe92902602fa8c9a0d20755c0754b target_unique=315
daregram epoch=46/50 source_MSE=17.349525 gram=11.937897 source_order_sha256=bf28b1ffddd77c42143a382643f655ea9fd8519980f940abda893793edb32d6b target_unique=315
daregram epoch=47/50 source_MSE=21.297858 gram=7.844716 source_order_sha256=a1269fc3ab53234a64756ce67a14521ef4043e6ed3a802b2fd8469015902b660 target_unique=315
daregram epoch=48/50 source_MSE=24.446904 gram=3.769838 source_order_sha256=113f46106983c073d92c17f0c31b3b6733bd68a8e7b02b9a85e8bc435614e3a5 target_unique=315
daregram epoch=49/50 source_MSE=39.501160 gram=8.491748 source_order_sha256=02879090ebe325b33e9efff035dd12e9259b3c2645620fe3d977511325887cc1 target_unique=315
daregram epoch=50/50 source_MSE=53.463470 gram=11.130356 source_order_sha256=9e96f322765122531801b69ea9eb5473d8e580d44633423ff353d2d37c6aae0e target_unique=315
Saved final epoch checkpoint: artifacts\norm_comparison_20260925\minmax\c4_to_c1\seed_44\daregram\final.pth
