Start daregram c4->c1 seed=42 init_sha256=791e81a865208ac373d2a6f5c599e792686145eddafbc4ef215d7b4890f983ae
daregram epoch=1/50 source_MSE=10779.493945 gram=6.906370 source_order_sha256=f7e5f6417103e5ca68ef584f38668fd3d874641c1e8bc1b036eaec76768ac73e target_unique=315
daregram epoch=2/50 source_MSE=9501.231055 gram=15.349204 source_order_sha256=64b9b4851c74b41d759a3892498426b49e0172749be98a198f4d285c09242fcc target_unique=315
daregram epoch=3/50 source_MSE=8799.356641 gram=28.212161 source_order_sha256=eb7136700c2d72f489c3526a9ee4d3209f799e6e93db45104359d02ca98d9b38 target_unique=315
daregram epoch=4/50 source_MSE=8175.182813 gram=30.265025 source_order_sha256=0db26a257ca3af38a60b1338a50459d228a74c0ae394c0f0204197a9d30a89bb target_unique=315
daregram epoch=5/50 source_MSE=7573.687695 gram=40.540056 source_order_sha256=7aa8f243330a0d837479f6c7c9100d97a268589b44cf32c2304761bdf16b2be0 target_unique=315
daregram epoch=6/50 source_MSE=6950.089355 gram=38.504857 source_order_sha256=f01faf5b98eec067f60c9a567f0890166e6bb1b6076e301ccbd6e58d235f9ba4 target_unique=315
daregram epoch=7/50 source_MSE=6355.330957 gram=43.821455 source_order_sha256=0f8cd8079fc23095d59c7884672afb3e7302dd5831da8999e5dc31bdf743cb49 target_unique=315
daregram epoch=8/50 source_MSE=5785.166211 gram=21.114096 source_order_sha256=9b7fe8d6a87fee5cbc0d3962dbb62dbff0eda5db74243f3225f45c6aa189ad09 target_unique=315
daregram epoch=9/50 source_MSE=5184.360254 gram=43.856946 source_order_sha256=e926657a4d8b506e708196792c99b9e049ad3bc6684c8d4a5d4ee706a3bf57c3 target_unique=315
daregram epoch=10/50 source_MSE=4635.777148 gram=21.826769 source_order_sha256=f2ddf2cd913378c6fa47073cf0949108064eb4006caeb359e0c85f8ef197689b target_unique=315
daregram epoch=11/50 source_MSE=4101.859131 gram=58.238535 source_order_sha256=3c2b4b9d9ffd98eaa0475619dc97dba13e4635d76e1e463c8bea989829b40377 target_unique=315
daregram epoch=12/50 source_MSE=3640.789062 gram=25.338310 source_order_sha256=24b861692f5a5240a4779d0bb7536d71887aac26a181d500533029d14de572be target_unique=315
daregram epoch=13/50 source_MSE=3174.512793 gram=17.848557 source_order_sha256=8e8e44826057fa2f9271298c21ac725195d8f93d942619657b406c4460f43054 target_unique=315
daregram epoch=14/50 source_MSE=2722.908521 gram=53.323851 source_order_sha256=c81b6a78ff9fb15fcf5533f2d54abab619245a242069fd90e9f1393f2dde7db1 target_unique=315
daregram epoch=15/50 source_MSE=2259.817871 gram=26.625764 source_order_sha256=3a3db6790cca59fb5747496e05e82d0817b24991edf1a96151390fba726b81d9 target_unique=315
daregram epoch=16/50 source_MSE=1923.900830 gram=29.197736 source_order_sha256=ae048ca8d4d9078e04c3b1c13dd1ef4ac03ef2a41881c149b529b965fb47aff0 target_unique=315
daregram epoch=17/50 source_MSE=1485.723950 gram=14.669181 source_order_sha256=fc199ff01745c1b2d1f5c06b562215e92a37f209dbb17b1d6afdb03d9618473d target_unique=315
daregram epoch=18/50 source_MSE=1300.757935 gram=23.198919 source_order_sha256=0b62b5fa55c8232a21fe728737f17a3968bcd6fbed3cd6411ac959987aff45eb target_unique=315
daregram epoch=19/50 source_MSE=988.786951 gram=34.594930 source_order_sha256=ca2c684c574d1efb2eb5667a39bc3ede35303448dd29b9a1b94d7623211e6049 target_unique=315
daregram epoch=20/50 source_MSE=746.291833 gram=41.015032 source_order_sha256=73dd8af7adaab447fead16f8c6f2f4ba37ae6f94f14fd09b2ec9b0c8ada7cbe7 target_unique=315
daregram epoch=21/50 source_MSE=548.171503 gram=22.714079 source_order_sha256=2451c05c9f331a3c67d6dfd00e40c5350c100c24af7069a47db4fd01fa57d6a6 target_unique=315
daregram epoch=22/50 source_MSE=465.219650 gram=22.283632 source_order_sha256=b1bb88dbd6ab208862b678b11ddd1c521bf6e4ed12fdea85420069ad737fafb7 target_unique=315
daregram epoch=23/50 source_MSE=298.633908 gram=40.830301 source_order_sha256=2f4490c430871a0885e0077b49933426c2d98313a63b3d559e08d0719f25d011 target_unique=315
daregram epoch=24/50 source_MSE=258.068924 gram=28.576862 source_order_sha256=4895a8c520ad7abecb9f61d417e0c6e74081960832e110276b875cc16a493d7b target_unique=315
daregram epoch=25/50 source_MSE=168.703532 gram=12.673458 source_order_sha256=f09091192ae4ecefcea9f7307d2b122dece0410a7c8977db6fa2ac00ef0fa73b target_unique=315
daregram epoch=26/50 source_MSE=117.628116 gram=19.497854 source_order_sha256=7a5e3d0eaac5741fc0f2ababfc937f755cd984228a336dee04b2b0cfdd24062e target_unique=315
daregram epoch=27/50 source_MSE=76.915979 gram=21.849757 source_order_sha256=46d58dccae1ae5633d6bba48839a119b05876e853d010bf1a63ea46d0592d6e9 target_unique=315
daregram epoch=28/50 source_MSE=109.823235 gram=12.729580 source_order_sha256=5d861fc5a536ba7663599c2aa9a513509711309eee2c6f5ccd80c5694bf1e9b0 target_unique=315
daregram epoch=29/50 source_MSE=53.163387 gram=17.801371 source_order_sha256=5ef2617b49617827586db59969a043b30b6717d278631fd214f619cca9454828 target_unique=315
daregram epoch=30/50 source_MSE=104.934354 gram=30.691610 source_order_sha256=3e1fb109d7c2a65bb0f8eb59a8370f914ca54713a043f5be613a2b44a2731b8f target_unique=315
daregram epoch=31/50 source_MSE=53.358990 gram=11.229703 source_order_sha256=e778242ccfb9afb31885190b2bd855674c392e7c2848155d861fb402b00ae0dc target_unique=315
daregram epoch=32/50 source_MSE=73.942831 gram=15.996114 source_order_sha256=0778b6aa6baf6b5ae4aef76f9de8fcb0157d33cb6aa149df2215eff849e51738 target_unique=315
daregram epoch=33/50 source_MSE=38.046172 gram=13.740124 source_order_sha256=bd0356daa83b7911a97228ee9a344137f39bcbe1997f5ef0a2d66e34f8858753 target_unique=315
daregram epoch=34/50 source_MSE=29.544814 gram=21.164461 source_order_sha256=1c76e9469f52ab33f71f62d50d52311ba84d8c1276476685acfd75daf861c96f target_unique=315
daregram epoch=35/50 source_MSE=29.382100 gram=14.176957 source_order_sha256=095faaa3633c23c024833b687763faca12d4cc28678e8b3fd7c8bad12d17a79c target_unique=315
daregram epoch=36/50 source_MSE=22.757689 gram=12.708195 source_order_sha256=056837079837fc36920f3b6dc054b34d78e8f8c9c85daabd99abb28f251fed2a target_unique=315
daregram epoch=37/50 source_MSE=45.617724 gram=12.960327 source_order_sha256=f85168e69686d250776b3a760dfff06fd5176b3f21839e1206d6b4080f645bc7 target_unique=315
daregram epoch=38/50 source_MSE=47.919254 gram=17.353739 source_order_sha256=d3b31b2368eab9c8c20208d87c7cf8e826e7261ee11d2645025165f23bbddd41 target_unique=315
daregram epoch=39/50 source_MSE=15.856299 gram=13.388280 source_order_sha256=dc0121569db74fa9bf5343b2803759478f31c8647498293d13ff1a0e2d1339de target_unique=315
daregram epoch=40/50 source_MSE=37.078703 gram=11.992681 source_order_sha256=037489e01cee84b86c7c1717e833aba2bbb1bad61519fe15d65fdd00e419b639 target_unique=315
daregram epoch=41/50 source_MSE=34.210275 gram=10.202757 source_order_sha256=ef63cd0db0ab26f5dacf10798e46d5f09d840352f7aa3e433049570cd52f0c8f target_unique=315
daregram epoch=42/50 source_MSE=47.543623 gram=17.937194 source_order_sha256=141f0b1b75862791b2869a29e960fee4c03fbbd19315d80d624e6d693c4ab667 target_unique=315
daregram epoch=43/50 source_MSE=47.472482 gram=30.397451 source_order_sha256=75f4880096dea5196824522523558f26e089ab00f8b07b13c5aed550723baae6 target_unique=315
daregram epoch=44/50 source_MSE=29.079121 gram=20.511535 source_order_sha256=f9fb301c386cf9f30979775421a42ecbcb80793cca72271c1d109df8fce26b89 target_unique=315
daregram epoch=45/50 source_MSE=23.815873 gram=7.146842 source_order_sha256=20eaa01c2d16f341422c8344a7e974a265f6a0012c6703670e3a5727c1839995 target_unique=315
daregram epoch=46/50 source_MSE=30.522598 gram=9.460891 source_order_sha256=7c274e677e9d11358b89315d79e945ab2a814b57093d930f29eb51a47e2d20ab target_unique=315
daregram epoch=47/50 source_MSE=22.788666 gram=14.336573 source_order_sha256=5976990f46f39c7070415ff6b9697ac92025493b562e28f4da4743c62a74bef4 target_unique=315
daregram epoch=48/50 source_MSE=41.102228 gram=6.674612 source_order_sha256=cab54860c1013f012fe0711ca1b3c41cee6f992d1e33748e4c1247a53072ef87 target_unique=315
daregram epoch=49/50 source_MSE=33.545406 gram=13.439773 source_order_sha256=7ed70608aabb8daeed43c1e1e72326f2f31606f65dd2589f7ce62442788f078b target_unique=315
daregram epoch=50/50 source_MSE=46.269166 gram=5.931415 source_order_sha256=63181744a8d269843d704b6b6fcb2a7c702d3ba747e62b8de9c89a24c77380bb target_unique=315
Saved final epoch checkpoint: artifacts\norm_comparison_20260925\zscore\c4_to_c1\seed_42\daregram\final.pth
