source,target,method,n,minmax_minus_zscore_R2_mean,minmax_minus_zscore_R2_std,minmax_minus_zscore_MAE_mean,minmax_minus_zscore_MAE_std,minmax_minus_zscore_RMSE_mean,minmax_minus_zscore_RMSE_std
c1,c4,source_only,5,-0.01139483150822478,0.019165229221011333,1.2151897297208276,0.813290406441346,0.5483805838760702,0.8965464064055604
c1,c4,daregram,5,-0.016279728963782804,0.017217264831878732,1.4010112798781613,1.311531076592308,0.729450198528075,0.766156983236208
c1,c6,source_only,5,0.10523891579261038,0.11648754780783462,-1.7530676366412454,3.07347271947495,-4.422629100025532,5.064767175081169
c1,c6,daregram,5,0.002363786360669029,0.10828409505338686,-0.40497514391702333,3.6403751128153474,-0.08105486934137573,4.23950032010364
c4,c1,source_only,5,-0.041969744468933465,0.10811091792528353,0.09240304734971864,1.0158020271527102,0.7296503667594767,2.11374476878898
c4,c1,daregram,5,0.08133406327123019,0.10970860355113465,-0.552636395408993,0.6512634365643519,-1.8026063641251675,2.374086046953839
c4,c6,source_only,5,-0.07102995296700901,0.10938234453779082,2.3062328084309898,3.2135034711056645,2.3075481046652455,3.3147661192361237
c4,c6,daregram,5,0.04894379323491529,0.13300727053751868,-1.7870850021120102,5.345362236310217,-1.8513927877073537,5.408152335174158
c6,c1,source_only,5,0.03880164748423243,0.6088634971718293,-3.4250493294852133,9.040191003691136,-1.642882248990134,9.710469511741183
c6,c1,daregram,5,-0.1765750719091015,0.2106498459590223,3.770514193338061,4.714490716896713,5.2568988896259,6.140225914104941
c6,c4,source_only,5,-0.02723726743690602,0.27378889145765667,-0.19710640559120557,6.21214065187864,0.5712793518255858,7.3095469285063945
c6,c4,daregram,5,-0.06771964159847624,0.09574674651623778,3.96709472898453,4.975729262084231,2.9350619727972793,4.225999419233087
