Start source_only c4->c6 seed=44 init_sha256=89dfa364cd019ad173319c7a8f775c661ec83f1938e80b69a1848714796075c4
source_only epoch=1/50 source_MSE=11034.237500 gram=0.000000 source_order_sha256=59bfcbf6051bd926f7f3785471f455c49b4b10a74bfe01e32c1d67682c63dc4f target_unique=0
source_only epoch=2/50 source_MSE=9821.314844 gram=0.000000 source_order_sha256=0ac560bfcb444211037a9a7d59aed95f3919c2bf54a14d9e4145b228437420d4 target_unique=0
source_only epoch=3/50 source_MSE=9157.795508 gram=0.000000 source_order_sha256=db748945ab47cb5cfa2e71f3bc2d7299e7541c35081174abd78d403135977eba target_unique=0
source_only epoch=4/50 source_MSE=8522.139160 gram=0.000000 source_order_sha256=1582ef3106a15a344390e2abd10ca5ed8f72a4d37449c7babee3238f7547edb4 target_unique=0
source_only epoch=5/50 source_MSE=7955.911621 gram=0.000000 source_order_sha256=080734e2c6419fa2f45cb3fc366d77af252f8393ff69cff18e66ee20946a75bc target_unique=0
source_only epoch=6/50 source_MSE=7293.703613 gram=0.000000 source_order_sha256=a66d204c747a526a7505a23383f5a424406aafe9772c33b27211e085c531231e target_unique=0
source_only epoch=7/50 source_MSE=6773.396191 gram=0.000000 source_order_sha256=cf51679d1d44835535bf8ed948dcb3bd8c77bffe971c9c54c8e3fdd1b7c03558 target_unique=0
source_only epoch=8/50 source_MSE=6109.818066 gram=0.000000 source_order_sha256=47f50d37548c2abcb38aeb5d81933b5268f60e6dfc5152c19eb8afa9422fef89 target_unique=0
source_only epoch=9/50 source_MSE=5540.619922 gram=0.000000 source_order_sha256=9694a6b88426d6ca65830e51ea075104b8b7b994587790e9311a50a3e13cc017 target_unique=0
source_only epoch=10/50 source_MSE=4911.848584 gram=0.000000 source_order_sha256=7c950da3a5093c62a5770637e0866c5d16d734121906f4eb33e704848df3be26 target_unique=0
source_only epoch=11/50 source_MSE=4349.911670 gram=0.000000 source_order_sha256=4cba05bc77c379eb900c7b60ba56f43181c22900189067e2e791f7825b766545 target_unique=0
source_only epoch=12/50 source_MSE=3899.880566 gram=0.000000 source_order_sha256=77d2ac0c000a842ae8d8d374584cd7a1eae83492b895c237914af8a34acf9752 target_unique=0
source_only epoch=13/50 source_MSE=3361.541357 gram=0.000000 source_order_sha256=ff0984b65c36d66b08aeb3407e12b6e7c5e8df2ad7e3576a44c666ef0b901a97 target_unique=0
source_only epoch=14/50 source_MSE=2833.176807 gram=0.000000 source_order_sha256=bfe8d8a2be0262f550bcc748c645505bce7273fc4129f6e58a29cd47b2f360d8 target_unique=0
source_only epoch=15/50 source_MSE=2395.610742 gram=0.000000 source_order_sha256=ccf25dc73854445fee3eff0c68c8e2a5ba22bdaa9393427a709526967666fc6d target_unique=0
source_only epoch=16/50 source_MSE=1974.448804 gram=0.000000 source_order_sha256=4a1bb914bc57fa90cc02cacb1af8ba55394309842d7049084e9a26227e07d596 target_unique=0
source_only epoch=17/50 source_MSE=1618.999829 gram=0.000000 source_order_sha256=a46d915f1b0146484e1e3cd9cc10f6d6f3d78a743b275bcaaa50b31264bca9cf target_unique=0
source_only epoch=18/50 source_MSE=1305.559119 gram=0.000000 source_order_sha256=38e994fecfede5c7c6f41ba8e6388ce2760c7240ffab0316fa129b9ba444fda8 target_unique=0
source_only epoch=19/50 source_MSE=976.895996 gram=0.000000 source_order_sha256=04e599520815e51951d81d4d24e2a7875feb53a2094c3677ea93ccdf3994ac80 target_unique=0
source_only epoch=20/50 source_MSE=787.012170 gram=0.000000 source_order_sha256=de5fd97bb30894179b3cfd7cdb16b19c9f09491d3bcd4042e878f3421dc40c3d target_unique=0
source_only epoch=21/50 source_MSE=582.769720 gram=0.000000 source_order_sha256=1b882e7da9f3c105e8cbcb5363706b7d3967ad0f366ff45e96a5044aa7fc28ce target_unique=0
source_only epoch=22/50 source_MSE=465.083728 gram=0.000000 source_order_sha256=97417e0867d404037a07a78ca83dea596428245191207d2b1aee4c2cab2f446b target_unique=0
source_only epoch=23/50 source_MSE=527.042102 gram=0.000000 source_order_sha256=786697b0ecfaf0de92a7b8aa2e7c3da62253a8f7dc13e32119d64529da4245f2 target_unique=0
source_only epoch=24/50 source_MSE=383.690436 gram=0.000000 source_order_sha256=f6f69b2cb88fcfec4ce16239a3e3f99117ae938034a07bafe5a83c6fbb3d00ef target_unique=0
source_only epoch=25/50 source_MSE=228.831371 gram=0.000000 source_order_sha256=f30f6f7bdafe8c7d85245649c32b28dce7531c872bf82d5003175a733f191fc1 target_unique=0
source_only epoch=26/50 source_MSE=182.318409 gram=0.000000 source_order_sha256=9c4c12430b8b983a23b015eb88d9acb15a68160b2b76b3e5a48afb74667637af target_unique=0
source_only epoch=27/50 source_MSE=165.843475 gram=0.000000 source_order_sha256=91028039ca81432afa4f8e92dc2c66cc6bb927b03e89dd1d6ac22012595b7df3 target_unique=0
source_only epoch=28/50 source_MSE=148.203279 gram=0.000000 source_order_sha256=d689825f6f08757dda6e3ad569687251d2ee91585d1fcf22c0d1a335409a12ee target_unique=0
source_only epoch=29/50 source_MSE=135.316327 gram=0.000000 source_order_sha256=cd685e0666a14a81ffdca359777ec83d12a0897d6785501cb3d57bde2e5b0078 target_unique=0
source_only epoch=30/50 source_MSE=93.181614 gram=0.000000 source_order_sha256=14e8d20d6a62e085b251215652479aa7e93108f7823be09a65c7c4fb61382a63 target_unique=0
source_only epoch=31/50 source_MSE=116.618744 gram=0.000000 source_order_sha256=825c68c2cc8fb233306c23f931f2dd69bbe34849326b573bc22a21a0aa495100 target_unique=0
source_only epoch=32/50 source_MSE=35.404417 gram=0.000000 source_order_sha256=bc5bbb79413fec48b46bdad14da01be62d8598fd0f20889daa9540e6dfad00f8 target_unique=0
source_only epoch=33/50 source_MSE=92.058622 gram=0.000000 source_order_sha256=0eb1804a2dbcd64afa1c7cfe22eff0def5e444a40ef3a7bc30bbb1167608fd91 target_unique=0
source_only epoch=34/50 source_MSE=72.736276 gram=0.000000 source_order_sha256=57b75c4082570155702a684f516fd0f1b6b0bc090f81d4d175c738e36d3f9a7c target_unique=0
source_only epoch=35/50 source_MSE=48.814697 gram=0.000000 source_order_sha256=719a401b4e74a3a2e427da255f507743b77e550e34c9410f57b9e129e8cf3d80 target_unique=0
