Start source_only c6->c1 seed=42 init_sha256=791e81a865208ac373d2a6f5c599e792686145eddafbc4ef215d7b4890f983ae
source_only epoch=16/50 source_MSE=4638.888965 gram=0.000000 source_order_sha256=ae048ca8d4d9078e04c3b1c13dd1ef4ac03ef2a41881c149b529b965fb47aff0 target_unique=0
source_only epoch=17/50 source_MSE=3889.020850 gram=0.000000 source_order_sha256=fc199ff01745c1b2d1f5c06b562215e92a37f209dbb17b1d6afdb03d9618473d target_unique=0
source_only epoch=18/50 source_MSE=3511.102002 gram=0.000000 source_order_sha256=0b62b5fa55c8232a21fe728737f17a3968bcd6fbed3cd6411ac959987aff45eb target_unique=0
source_only epoch=19/50 source_MSE=2904.076562 gram=0.000000 source_order_sha256=ca2c684c574d1efb2eb5667a39bc3ede35303448dd29b9a1b94d7623211e6049 target_unique=0
source_only epoch=20/50 source_MSE=2441.449121 gram=0.000000 source_order_sha256=73dd8af7adaab447fead16f8c6f2f4ba37ae6f94f14fd09b2ec9b0c8ada7cbe7 target_unique=0
source_only epoch=21/50 source_MSE=1979.256396 gram=0.000000 source_order_sha256=2451c05c9f331a3c67d6dfd00e40c5350c100c24af7069a47db4fd01fa57d6a6 target_unique=0
source_only epoch=22/50 source_MSE=1601.117896 gram=0.000000 source_order_sha256=b1bb88dbd6ab208862b678b11ddd1c521bf6e4ed12fdea85420069ad737fafb7 target_unique=0
source_only epoch=23/50 source_MSE=1234.212134 gram=0.000000 source_order_sha256=2f4490c430871a0885e0077b49933426c2d98313a63b3d559e08d0719f25d011 target_unique=0
source_only epoch=24/50 source_MSE=975.493787 gram=0.000000 source_order_sha256=4895a8c520ad7abecb9f61d417e0c6e74081960832e110276b875cc16a493d7b target_unique=0
source_only epoch=25/50 source_MSE=778.092896 gram=0.000000 source_order_sha256=f09091192ae4ecefcea9f7307d2b122dece0410a7c8977db6fa2ac00ef0fa73b target_unique=0
source_only epoch=26/50 source_MSE=587.105975 gram=0.000000 source_order_sha256=7a5e3d0eaac5741fc0f2ababfc937f755cd984228a336dee04b2b0cfdd24062e target_unique=0
source_only epoch=27/50 source_MSE=475.865546 gram=0.000000 source_order_sha256=46d58dccae1ae5633d6bba48839a119b05876e853d010bf1a63ea46d0592d6e9 target_unique=0
source_only epoch=28/50 source_MSE=419.675879 gram=0.000000 source_order_sha256=5d861fc5a536ba7663599c2aa9a513509711309eee2c6f5ccd80c5694bf1e9b0 target_unique=0
source_only epoch=29/50 source_MSE=277.426761 gram=0.000000 source_order_sha256=5ef2617b49617827586db59969a043b30b6717d278631fd214f619cca9454828 target_unique=0
source_only epoch=30/50 source_MSE=261.300499 gram=0.000000 source_order_sha256=3e1fb109d7c2a65bb0f8eb59a8370f914ca54713a043f5be613a2b44a2731b8f target_unique=0
source_only epoch=31/50 source_MSE=176.781592 gram=0.000000 source_order_sha256=e778242ccfb9afb31885190b2bd855674c392e7c2848155d861fb402b00ae0dc target_unique=0
source_only epoch=32/50 source_MSE=205.135825 gram=0.000000 source_order_sha256=0778b6aa6baf6b5ae4aef76f9de8fcb0157d33cb6aa149df2215eff849e51738 target_unique=0
source_only epoch=33/50 source_MSE=91.633051 gram=0.000000 source_order_sha256=bd0356daa83b7911a97228ee9a344137f39bcbe1997f5ef0a2d66e34f8858753 target_unique=0
source_only epoch=34/50 source_MSE=82.228148 gram=0.000000 source_order_sha256=1c76e9469f52ab33f71f62d50d52311ba84d8c1276476685acfd75daf861c96f target_unique=0
source_only epoch=35/50 source_MSE=54.274307 gram=0.000000 source_order_sha256=095faaa3633c23c024833b687763faca12d4cc28678e8b3fd7c8bad12d17a79c target_unique=0
source_only epoch=36/50 source_MSE=43.850378 gram=0.000000 source_order_sha256=056837079837fc36920f3b6dc054b34d78e8f8c9c85daabd99abb28f251fed2a target_unique=0
source_only epoch=37/50 source_MSE=45.595671 gram=0.000000 source_order_sha256=f85168e69686d250776b3a760dfff06fd5176b3f21839e1206d6b4080f645bc7 target_unique=0
source_only epoch=38/50 source_MSE=40.957744 gram=0.000000 source_order_sha256=d3b31b2368eab9c8c20208d87c7cf8e826e7261ee11d2645025165f23bbddd41 target_unique=0
source_only epoch=39/50 source_MSE=20.447970 gram=0.000000 source_order_sha256=dc0121569db74fa9bf5343b2803759478f31c8647498293d13ff1a0e2d1339de target_unique=0
source_only epoch=40/50 source_MSE=34.385304 gram=0.000000 source_order_sha256=037489e01cee84b86c7c1717e833aba2bbb1bad61519fe15d65fdd00e419b639 target_unique=0
source_only epoch=41/50 source_MSE=45.826528 gram=0.000000 source_order_sha256=ef63cd0db0ab26f5dacf10798e46d5f09d840352f7aa3e433049570cd52f0c8f target_unique=0
source_only epoch=42/50 source_MSE=36.466407 gram=0.000000 source_order_sha256=141f0b1b75862791b2869a29e960fee4c03fbbd19315d80d624e6d693c4ab667 target_unique=0
source_only epoch=43/50 source_MSE=26.676257 gram=0.000000 source_order_sha256=75f4880096dea5196824522523558f26e089ab00f8b07b13c5aed550723baae6 target_unique=0
source_only epoch=44/50 source_MSE=34.077316 gram=0.000000 source_order_sha256=f9fb301c386cf9f30979775421a42ecbcb80793cca72271c1d109df8fce26b89 target_unique=0
source_only epoch=45/50 source_MSE=42.329728 gram=0.000000 source_order_sha256=20eaa01c2d16f341422c8344a7e974a265f6a0012c6703670e3a5727c1839995 target_unique=0
source_only epoch=46/50 source_MSE=48.054170 gram=0.000000 source_order_sha256=7c274e677e9d11358b89315d79e945ab2a814b57093d930f29eb51a47e2d20ab target_unique=0
source_only epoch=47/50 source_MSE=35.586260 gram=0.000000 source_order_sha256=5976990f46f39c7070415ff6b9697ac92025493b562e28f4da4743c62a74bef4 target_unique=0
source_only epoch=48/50 source_MSE=49.359109 gram=0.000000 source_order_sha256=cab54860c1013f012fe0711ca1b3c41cee6f992d1e33748e4c1247a53072ef87 target_unique=0
source_only epoch=49/50 source_MSE=39.150710 gram=0.000000 source_order_sha256=7ed70608aabb8daeed43c1e1e72326f2f31606f65dd2589f7ce62442788f078b target_unique=0
source_only epoch=50/50 source_MSE=65.263058 gram=0.000000 source_order_sha256=63181744a8d269843d704b6b6fcb2a7c702d3ba747e62b8de9c89a24c77380bb target_unique=0
Saved final epoch checkpoint: artifacts\norm_comparison_20260925\zscore\c6_to_c1\seed_42\source_only\final.pth
