Start norm=minmax c4->c1 seed=42
Start source_only c4->c1 seed=42 init_sha256=791e81a865208ac373d2a6f5c599e792686145eddafbc4ef215d7b4890f983ae
source_only epoch=16/50 source_MSE=1922.288770 gram=0.000000 source_order_sha256=ae048ca8d4d9078e04c3b1c13dd1ef4ac03ef2a41881c149b529b965fb47aff0 target_unique=0
source_only epoch=17/50 source_MSE=1518.050684 gram=0.000000 source_order_sha256=fc199ff01745c1b2d1f5c06b562215e92a37f209dbb17b1d6afdb03d9618473d target_unique=0
source_only epoch=18/50 source_MSE=1298.421448 gram=0.000000 source_order_sha256=0b62b5fa55c8232a21fe728737f17a3968bcd6fbed3cd6411ac959987aff45eb target_unique=0
source_only epoch=19/50 source_MSE=979.511194 gram=0.000000 source_order_sha256=ca2c684c574d1efb2eb5667a39bc3ede35303448dd29b9a1b94d7623211e6049 target_unique=0
source_only epoch=20/50 source_MSE=749.379236 gram=0.000000 source_order_sha256=73dd8af7adaab447fead16f8c6f2f4ba37ae6f94f14fd09b2ec9b0c8ada7cbe7 target_unique=0
source_only epoch=21/50 source_MSE=552.505518 gram=0.000000 source_order_sha256=2451c05c9f331a3c67d6dfd00e40c5350c100c24af7069a47db4fd01fa57d6a6 target_unique=0
source_only epoch=22/50 source_MSE=508.505951 gram=0.000000 source_order_sha256=b1bb88dbd6ab208862b678b11ddd1c521bf6e4ed12fdea85420069ad737fafb7 target_unique=0
source_only epoch=23/50 source_MSE=309.678677 gram=0.000000 source_order_sha256=2f4490c430871a0885e0077b49933426c2d98313a63b3d559e08d0719f25d011 target_unique=0
source_only epoch=24/50 source_MSE=250.102713 gram=0.000000 source_order_sha256=4895a8c520ad7abecb9f61d417e0c6e74081960832e110276b875cc16a493d7b target_unique=0
source_only epoch=25/50 source_MSE=158.928705 gram=0.000000 source_order_sha256=f09091192ae4ecefcea9f7307d2b122dece0410a7c8977db6fa2ac00ef0fa73b target_unique=0
source_only epoch=26/50 source_MSE=134.198476 gram=0.000000 source_order_sha256=7a5e3d0eaac5741fc0f2ababfc937f755cd984228a336dee04b2b0cfdd24062e target_unique=0
source_only epoch=27/50 source_MSE=77.366246 gram=0.000000 source_order_sha256=46d58dccae1ae5633d6bba48839a119b05876e853d010bf1a63ea46d0592d6e9 target_unique=0
source_only epoch=28/50 source_MSE=129.751089 gram=0.000000 source_order_sha256=5d861fc5a536ba7663599c2aa9a513509711309eee2c6f5ccd80c5694bf1e9b0 target_unique=0
source_only epoch=29/50 source_MSE=64.858253 gram=0.000000 source_order_sha256=5ef2617b49617827586db59969a043b30b6717d278631fd214f619cca9454828 target_unique=0
source_only epoch=30/50 source_MSE=130.002229 gram=0.000000 source_order_sha256=3e1fb109d7c2a65bb0f8eb59a8370f914ca54713a043f5be613a2b44a2731b8f target_unique=0
source_only epoch=31/50 source_MSE=82.029961 gram=0.000000 source_order_sha256=e778242ccfb9afb31885190b2bd855674c392e7c2848155d861fb402b00ae0dc target_unique=0
source_only epoch=32/50 source_MSE=90.929269 gram=0.000000 source_order_sha256=0778b6aa6baf6b5ae4aef76f9de8fcb0157d33cb6aa149df2215eff849e51738 target_unique=0
source_only epoch=33/50 source_MSE=46.673745 gram=0.000000 source_order_sha256=bd0356daa83b7911a97228ee9a344137f39bcbe1997f5ef0a2d66e34f8858753 target_unique=0
source_only epoch=34/50 source_MSE=30.255677 gram=0.000000 source_order_sha256=1c76e9469f52ab33f71f62d50d52311ba84d8c1276476685acfd75daf861c96f target_unique=0
source_only epoch=35/50 source_MSE=21.415733 gram=0.000000 source_order_sha256=095faaa3633c23c024833b687763faca12d4cc28678e8b3fd7c8bad12d17a79c target_unique=0
source_only epoch=36/50 source_MSE=13.333092 gram=0.000000 source_order_sha256=056837079837fc36920f3b6dc054b34d78e8f8c9c85daabd99abb28f251fed2a target_unique=0
source_only epoch=37/50 source_MSE=35.053689 gram=0.000000 source_order_sha256=f85168e69686d250776b3a760dfff06fd5176b3f21839e1206d6b4080f645bc7 target_unique=0
source_only epoch=38/50 source_MSE=33.942701 gram=0.000000 source_order_sha256=d3b31b2368eab9c8c20208d87c7cf8e826e7261ee11d2645025165f23bbddd41 target_unique=0
source_only epoch=39/50 source_MSE=11.714091 gram=0.000000 source_order_sha256=dc0121569db74fa9bf5343b2803759478f31c8647498293d13ff1a0e2d1339de target_unique=0
source_only epoch=40/50 source_MSE=22.737099 gram=0.000000 source_order_sha256=037489e01cee84b86c7c1717e833aba2bbb1bad61519fe15d65fdd00e419b639 target_unique=0
source_only epoch=41/50 source_MSE=34.581756 gram=0.000000 source_order_sha256=ef63cd0db0ab26f5dacf10798e46d5f09d840352f7aa3e433049570cd52f0c8f target_unique=0
source_only epoch=42/50 source_MSE=28.252546 gram=0.000000 source_order_sha256=141f0b1b75862791b2869a29e960fee4c03fbbd19315d80d624e6d693c4ab667 target_unique=0
source_only epoch=43/50 source_MSE=31.307294 gram=0.000000 source_order_sha256=75f4880096dea5196824522523558f26e089ab00f8b07b13c5aed550723baae6 target_unique=0
source_only epoch=44/50 source_MSE=30.029863 gram=0.000000 source_order_sha256=f9fb301c386cf9f30979775421a42ecbcb80793cca72271c1d109df8fce26b89 target_unique=0
source_only epoch=45/50 source_MSE=25.640988 gram=0.000000 source_order_sha256=20eaa01c2d16f341422c8344a7e974a265f6a0012c6703670e3a5727c1839995 target_unique=0
source_only epoch=46/50 source_MSE=26.228214 gram=0.000000 source_order_sha256=7c274e677e9d11358b89315d79e945ab2a814b57093d930f29eb51a47e2d20ab target_unique=0
source_only epoch=47/50 source_MSE=10.399227 gram=0.000000 source_order_sha256=5976990f46f39c7070415ff6b9697ac92025493b562e28f4da4743c62a74bef4 target_unique=0
source_only epoch=48/50 source_MSE=41.098486 gram=0.000000 source_order_sha256=cab54860c1013f012fe0711ca1b3c41cee6f992d1e33748e4c1247a53072ef87 target_unique=0
source_only epoch=49/50 source_MSE=28.437863 gram=0.000000 source_order_sha256=7ed70608aabb8daeed43c1e1e72326f2f31606f65dd2589f7ce62442788f078b target_unique=0
source_only epoch=50/50 source_MSE=47.672791 gram=0.000000 source_order_sha256=63181744a8d269843d704b6b6fcb2a7c702d3ba747e62b8de9c89a24c77380bb target_unique=0
Saved final epoch checkpoint: artifacts\norm_comparison_20260925\minmax\c4_to_c1\seed_42\source_only\final.pth
Start daregram c4->c1 seed=42 init_sha256=791e81a865208ac373d2a6f5c599e792686145eddafbc4ef215d7b4890f983ae
daregram epoch=1/50 source_MSE=10781.522852 gram=7.028439 source_order_sha256=f7e5f6417103e5ca68ef584f38668fd3d874641c1e8bc1b036eaec76768ac73e target_unique=315
daregram epoch=2/50 source_MSE=9524.379492 gram=18.471570 source_order_sha256=64b9b4851c74b41d759a3892498426b49e0172749be98a198f4d285c09242fcc target_unique=315
daregram epoch=3/50 source_MSE=8804.377051 gram=26.016846 source_order_sha256=eb7136700c2d72f489c3526a9ee4d3209f799e6e93db45104359d02ca98d9b38 target_unique=315
daregram epoch=4/50 source_MSE=8165.686523 gram=33.592533 source_order_sha256=0db26a257ca3af38a60b1338a50459d228a74c0ae394c0f0204197a9d30a89bb target_unique=315
daregram epoch=5/50 source_MSE=7560.076074 gram=35.792324 source_order_sha256=7aa8f243330a0d837479f6c7c9100d97a268589b44cf32c2304761bdf16b2be0 target_unique=315
daregram epoch=6/50 source_MSE=6939.770020 gram=38.610242 source_order_sha256=f01faf5b98eec067f60c9a567f0890166e6bb1b6076e301ccbd6e58d235f9ba4 target_unique=315
daregram epoch=7/50 source_MSE=6372.580371 gram=28.685090 source_order_sha256=0f8cd8079fc23095d59c7884672afb3e7302dd5831da8999e5dc31bdf743cb49 target_unique=315
daregram epoch=8/50 source_MSE=5791.271387 gram=20.768772 source_order_sha256=9b7fe8d6a87fee5cbc0d3962dbb62dbff0eda5db74243f3225f45c6aa189ad09 target_unique=315
daregram epoch=9/50 source_MSE=5191.627051 gram=41.813478 source_order_sha256=e926657a4d8b506e708196792c99b9e049ad3bc6684c8d4a5d4ee706a3bf57c3 target_unique=315
daregram epoch=10/50 source_MSE=4656.224707 gram=32.610682 source_order_sha256=f2ddf2cd913378c6fa47073cf0949108064eb4006caeb359e0c85f8ef197689b target_unique=315
daregram epoch=11/50 source_MSE=4121.248779 gram=55.195879 source_order_sha256=3c2b4b9d9ffd98eaa0475619dc97dba13e4635d76e1e463c8bea989829b40377 target_unique=315
daregram epoch=12/50 source_MSE=3655.648682 gram=30.998769 source_order_sha256=24b861692f5a5240a4779d0bb7536d71887aac26a181d500533029d14de572be target_unique=315
daregram epoch=13/50 source_MSE=3139.933984 gram=20.518022 source_order_sha256=8e8e44826057fa2f9271298c21ac725195d8f93d942619657b406c4460f43054 target_unique=315
daregram epoch=14/50 source_MSE=2720.512085 gram=48.526148 source_order_sha256=c81b6a78ff9fb15fcf5533f2d54abab619245a242069fd90e9f1393f2dde7db1 target_unique=315
daregram epoch=15/50 source_MSE=2278.365820 gram=29.054901 source_order_sha256=3a3db6790cca59fb5747496e05e82d0817b24991edf1a96151390fba726b81d9 target_unique=315
daregram epoch=16/50 source_MSE=1909.851709 gram=25.274932 source_order_sha256=ae048ca8d4d9078e04c3b1c13dd1ef4ac03ef2a41881c149b529b965fb47aff0 target_unique=315
daregram epoch=17/50 source_MSE=1545.495850 gram=20.910882 source_order_sha256=fc199ff01745c1b2d1f5c06b562215e92a37f209dbb17b1d6afdb03d9618473d target_unique=315
daregram epoch=18/50 source_MSE=1261.272668 gram=7.998626 source_order_sha256=0b62b5fa55c8232a21fe728737f17a3968bcd6fbed3cd6411ac959987aff45eb target_unique=315
daregram epoch=19/50 source_MSE=961.187744 gram=32.326908 source_order_sha256=ca2c684c574d1efb2eb5667a39bc3ede35303448dd29b9a1b94d7623211e6049 target_unique=315
daregram epoch=20/50 source_MSE=738.115527 gram=31.687387 source_order_sha256=73dd8af7adaab447fead16f8c6f2f4ba37ae6f94f14fd09b2ec9b0c8ada7cbe7 target_unique=315
daregram epoch=21/50 source_MSE=552.162219 gram=17.612572 source_order_sha256=2451c05c9f331a3c67d6dfd00e40c5350c100c24af7069a47db4fd01fa57d6a6 target_unique=315
daregram epoch=22/50 source_MSE=420.031589 gram=13.690661 source_order_sha256=b1bb88dbd6ab208862b678b11ddd1c521bf6e4ed12fdea85420069ad737fafb7 target_unique=315
daregram epoch=23/50 source_MSE=297.534595 gram=18.608822 source_order_sha256=2f4490c430871a0885e0077b49933426c2d98313a63b3d559e08d0719f25d011 target_unique=315
daregram epoch=24/50 source_MSE=284.805125 gram=15.476913 source_order_sha256=4895a8c520ad7abecb9f61d417e0c6e74081960832e110276b875cc16a493d7b target_unique=315
daregram epoch=25/50 source_MSE=205.287144 gram=9.681673 source_order_sha256=f09091192ae4ecefcea9f7307d2b122dece0410a7c8977db6fa2ac00ef0fa73b target_unique=315
daregram epoch=26/50 source_MSE=116.403883 gram=16.850283 source_order_sha256=7a5e3d0eaac5741fc0f2ababfc937f755cd984228a336dee04b2b0cfdd24062e target_unique=315
daregram epoch=27/50 source_MSE=75.730551 gram=4.876576 source_order_sha256=46d58dccae1ae5633d6bba48839a119b05876e853d010bf1a63ea46d0592d6e9 target_unique=315
daregram epoch=28/50 source_MSE=92.175292 gram=16.802543 source_order_sha256=5d861fc5a536ba7663599c2aa9a513509711309eee2c6f5ccd80c5694bf1e9b0 target_unique=315
daregram epoch=29/50 source_MSE=51.693404 gram=14.919859 source_order_sha256=5ef2617b49617827586db59969a043b30b6717d278631fd214f619cca9454828 target_unique=315
daregram epoch=30/50 source_MSE=113.844433 gram=7.968542 source_order_sha256=3e1fb109d7c2a65bb0f8eb59a8370f914ca54713a043f5be613a2b44a2731b8f target_unique=315
daregram epoch=31/50 source_MSE=56.181429 gram=9.879968 source_order_sha256=e778242ccfb9afb31885190b2bd855674c392e7c2848155d861fb402b00ae0dc target_unique=315
daregram epoch=32/50 source_MSE=62.329654 gram=15.090892 source_order_sha256=0778b6aa6baf6b5ae4aef76f9de8fcb0157d33cb6aa149df2215eff849e51738 target_unique=315
daregram epoch=33/50 source_MSE=49.069354 gram=14.531771 source_order_sha256=bd0356daa83b7911a97228ee9a344137f39bcbe1997f5ef0a2d66e34f8858753 target_unique=315
daregram epoch=34/50 source_MSE=24.602941 gram=13.940596 source_order_sha256=1c76e9469f52ab33f71f62d50d52311ba84d8c1276476685acfd75daf861c96f target_unique=315
daregram epoch=35/50 source_MSE=26.186638 gram=13.714537 source_order_sha256=095faaa3633c23c024833b687763faca12d4cc28678e8b3fd7c8bad12d17a79c target_unique=315
daregram epoch=36/50 source_MSE=13.664737 gram=10.558679 source_order_sha256=056837079837fc36920f3b6dc054b34d78e8f8c9c85daabd99abb28f251fed2a target_unique=315
daregram epoch=37/50 source_MSE=40.332655 gram=13.069368 source_order_sha256=f85168e69686d250776b3a760dfff06fd5176b3f21839e1206d6b4080f645bc7 target_unique=315
daregram epoch=38/50 source_MSE=42.924492 gram=15.646195 source_order_sha256=d3b31b2368eab9c8c20208d87c7cf8e826e7261ee11d2645025165f23bbddd41 target_unique=315
daregram epoch=39/50 source_MSE=14.922350 gram=7.514890 source_order_sha256=dc0121569db74fa9bf5343b2803759478f31c8647498293d13ff1a0e2d1339de target_unique=315
daregram epoch=40/50 source_MSE=29.875484 gram=12.616183 source_order_sha256=037489e01cee84b86c7c1717e833aba2bbb1bad61519fe15d65fdd00e419b639 target_unique=315
daregram epoch=41/50 source_MSE=38.625094 gram=8.987015 source_order_sha256=ef63cd0db0ab26f5dacf10798e46d5f09d840352f7aa3e433049570cd52f0c8f target_unique=315
daregram epoch=42/50 source_MSE=43.507308 gram=7.298956 source_order_sha256=141f0b1b75862791b2869a29e960fee4c03fbbd19315d80d624e6d693c4ab667 target_unique=315
daregram epoch=43/50 source_MSE=40.454236 gram=13.078400 source_order_sha256=75f4880096dea5196824522523558f26e089ab00f8b07b13c5aed550723baae6 target_unique=315
daregram epoch=44/50 source_MSE=23.560360 gram=8.746699 source_order_sha256=f9fb301c386cf9f30979775421a42ecbcb80793cca72271c1d109df8fce26b89 target_unique=315
daregram epoch=45/50 source_MSE=22.096674 gram=6.070451 source_order_sha256=20eaa01c2d16f341422c8344a7e974a265f6a0012c6703670e3a5727c1839995 target_unique=315
daregram epoch=46/50 source_MSE=19.477835 gram=7.012988 source_order_sha256=7c274e677e9d11358b89315d79e945ab2a814b57093d930f29eb51a47e2d20ab target_unique=315
daregram epoch=47/50 source_MSE=18.884058 gram=6.857431 source_order_sha256=5976990f46f39c7070415ff6b9697ac92025493b562e28f4da4743c62a74bef4 target_unique=315
daregram epoch=48/50 source_MSE=38.105749 gram=7.452504 source_order_sha256=cab54860c1013f012fe0711ca1b3c41cee6f992d1e33748e4c1247a53072ef87 target_unique=315
daregram epoch=49/50 source_MSE=24.261977 gram=6.691828 source_order_sha256=7ed70608aabb8daeed43c1e1e72326f2f31606f65dd2589f7ce62442788f078b target_unique=315
daregram epoch=50/50 source_MSE=31.331388 gram=6.457304 source_order_sha256=63181744a8d269843d704b6b6fcb2a7c702d3ba747e62b8de9c89a24c77380bb target_unique=315
Saved final epoch checkpoint: artifacts\norm_comparison_20260925\minmax\c4_to_c1\seed_42\daregram\final.pth
Completed norm=minmax c4->c1 seed=42: {'source_only': {'MAE': 16.59630129375155, 'RMSE': 22.86521800684732, 'R2': 0.2988186106575066, 'MAPE_percent': 13.870883779675816}, 'daregram': {'MAE': 17.908833004179456, 'RMSE': 22.92577291437004, 'R2': 0.2950997571190832, 'MAPE_percent': 15.562961189473596}}
