Start daregram c6->c4 seed=42 init_sha256=791e81a865208ac373d2a6f5c599e792686145eddafbc4ef215d7b4890f983ae
daregram epoch=1/50 source_MSE=17188.327930 gram=33.384717 source_order_sha256=f7e5f6417103e5ca68ef584f38668fd3d874641c1e8bc1b036eaec76768ac73e target_unique=315
daregram epoch=2/50 source_MSE=15620.236133 gram=13.667683 source_order_sha256=64b9b4851c74b41d759a3892498426b49e0172749be98a198f4d285c09242fcc target_unique=315
daregram epoch=3/50 source_MSE=14720.258008 gram=40.378421 source_order_sha256=eb7136700c2d72f489c3526a9ee4d3209f799e6e93db45104359d02ca98d9b38 target_unique=315
daregram epoch=4/50 source_MSE=13884.525391 gram=20.316793 source_order_sha256=0db26a257ca3af38a60b1338a50459d228a74c0ae394c0f0204197a9d30a89bb target_unique=315
daregram epoch=5/50 source_MSE=13075.942578 gram=60.698240 source_order_sha256=7aa8f243330a0d837479f6c7c9100d97a268589b44cf32c2304761bdf16b2be0 target_unique=315
daregram epoch=6/50 source_MSE=12267.000195 gram=72.949003 source_order_sha256=f01faf5b98eec067f60c9a567f0890166e6bb1b6076e301ccbd6e58d235f9ba4 target_unique=315
daregram epoch=7/50 source_MSE=11477.925391 gram=47.876921 source_order_sha256=0f8cd8079fc23095d59c7884672afb3e7302dd5831da8999e5dc31bdf743cb49 target_unique=315
daregram epoch=8/50 source_MSE=10710.642383 gram=37.386293 source_order_sha256=9b7fe8d6a87fee5cbc0d3962dbb62dbff0eda5db74243f3225f45c6aa189ad09 target_unique=315
daregram epoch=9/50 source_MSE=9886.619141 gram=72.656701 source_order_sha256=e926657a4d8b506e708196792c99b9e049ad3bc6684c8d4a5d4ee706a3bf57c3 target_unique=315
daregram epoch=10/50 source_MSE=9087.713672 gram=23.233360 source_order_sha256=f2ddf2cd913378c6fa47073cf0949108064eb4006caeb359e0c85f8ef197689b target_unique=315
