Start source_only c4->c1 seed=45 init_sha256=ccb4fb1bf1dce88827f3fc8d16d3739d815ab71d6094bb1f9471cf991982c13d
source_only epoch=1/50 source_MSE=11026.393164 gram=0.000000 source_order_sha256=045c106d41422400410757db216008e065f81519c5545837926974282c7e874d target_unique=0
source_only epoch=2/50 source_MSE=9809.413281 gram=0.000000 source_order_sha256=d244cfd7952036477bb4e4372d79308b8e0d558b0a6ed018b3de79da389e3f70 target_unique=0
source_only epoch=3/50 source_MSE=9082.390723 gram=0.000000 source_order_sha256=72515ed719da026324d5ba11c224d09c4bce8e3eabf90780b9372fbf3c3ed692 target_unique=0
source_only epoch=4/50 source_MSE=8460.672559 gram=0.000000 source_order_sha256=2b58e4f832d5864008adc8a2dcb7b57d1b5d969c33846c977d9f2f0598fef041 target_unique=0
source_only epoch=5/50 source_MSE=7868.419629 gram=0.000000 source_order_sha256=4724f088a02ee8104a3436f981c49e28c4023a6c2a38ffafc299f0e3218f4d97 target_unique=0
source_only epoch=6/50 source_MSE=7249.493750 gram=0.000000 source_order_sha256=2836eae41f09548b769199df076218aeb67e314f0247883e288197cc142db96e target_unique=0
source_only epoch=7/50 source_MSE=6659.264551 gram=0.000000 source_order_sha256=a3300b282934dfd982a42d05dfdf2a7963837b699312646afdd7121df15634af target_unique=0
source_only epoch=8/50 source_MSE=6035.369629 gram=0.000000 source_order_sha256=bf062d81bbbcaae4e178180b47a03a6a93dca012d6e1da36c5789cc09fadffcd target_unique=0
source_only epoch=9/50 source_MSE=5471.545117 gram=0.000000 source_order_sha256=7411722688535bcb242be789ef4d10cc9e93b8435cef3511a7b9afb3b8a9adfe target_unique=0
source_only epoch=10/50 source_MSE=4866.557666 gram=0.000000 source_order_sha256=11420b1cb26c2ff760bcdec9c06375a963c02a69e242b3fa5969aaa7737da2c4 target_unique=0
source_only epoch=11/50 source_MSE=4276.769482 gram=0.000000 source_order_sha256=1915982666d06674912772b867fcbc3c62bc54ddd8181b7c079776187a575b42 target_unique=0
source_only epoch=12/50 source_MSE=3755.423096 gram=0.000000 source_order_sha256=598c86ad715716fce5159406cebfca58dca06c49e24010abf15594a7c3540e42 target_unique=0
source_only epoch=13/50 source_MSE=3258.309082 gram=0.000000 source_order_sha256=dd240e44db2a2fd49962dd19983fd68cd4495c3d730080c5e31cef0cdd85831b target_unique=0
source_only epoch=14/50 source_MSE=2802.162964 gram=0.000000 source_order_sha256=8e9a55e9b0f759bda510696c2a7a266bf2f6d8e8cc742a13b1ae2ca5b7256a12 target_unique=0
source_only epoch=15/50 source_MSE=2276.217700 gram=0.000000 source_order_sha256=592bd639e2eb5b2d37b8ed774ab87c117d7919f5c5f82fa594d02343539b45ed target_unique=0
source_only epoch=16/50 source_MSE=1861.072046 gram=0.000000 source_order_sha256=964b808a67e8469fb493ef77cfced592a291106b522131faaacd106f7486cd33 target_unique=0
source_only epoch=17/50 source_MSE=1507.120166 gram=0.000000 source_order_sha256=c58942fdedc6a094f0d5dbdaf7de2779368116e369e4b6d0721adaf543f44a10 target_unique=0
source_only epoch=18/50 source_MSE=1191.658337 gram=0.000000 source_order_sha256=b97c3ede62ff06328711c9c003c188c536ef9293e38a5ba36d0f7cfacd96b09f target_unique=0
source_only epoch=19/50 source_MSE=959.962476 gram=0.000000 source_order_sha256=ffb75eeebcf84ebc824da0e3b8ce7dc5cf13c7cc1b4d4f85b6d33fd889e2c18f target_unique=0
source_only epoch=20/50 source_MSE=753.293427 gram=0.000000 source_order_sha256=5c051e800cc58c79f5da470e5769c85e095e12e6df09d36c741a398f8a85dd57 target_unique=0
source_only epoch=21/50 source_MSE=616.898187 gram=0.000000 source_order_sha256=1d7b16b1d50a60478580220c2dc591c3412a1021cbba2b96311ced7699951d0b target_unique=0
source_only epoch=22/50 source_MSE=468.411807 gram=0.000000 source_order_sha256=5bab7c9a8e0a4628832cd8bcc8fecae9576b6715d41e6d46d282b21146ba02f5 target_unique=0
source_only epoch=23/50 source_MSE=360.023122 gram=0.000000 source_order_sha256=cd6f21162e5f0d61e6d303aecdcdffc75302d3415463b77dee1a1a3231878581 target_unique=0
