Start source_only c4->c1 seed=45 init_sha256=ccb4fb1bf1dce88827f3fc8d16d3739d815ab71d6094bb1f9471cf991982c13d
source_only epoch=24/50 source_MSE=276.610902 gram=0.000000 source_order_sha256=1157e53d7e7f2e0a978b9edd9257ac57dd42f290bbf19e9e6ab5eff56f3b91fe target_unique=0
source_only epoch=25/50 source_MSE=152.608905 gram=0.000000 source_order_sha256=5ffe98837eb0d86546ec20d9f45ad06d152a673f506ded6d1c16693bf2791181 target_unique=0
source_only epoch=26/50 source_MSE=203.073277 gram=0.000000 source_order_sha256=867b394c0372ad41b0df3fdd6020fc8d500c3169080aa46b66431eea88dc6d07 target_unique=0
source_only epoch=27/50 source_MSE=167.134911 gram=0.000000 source_order_sha256=cc5a361473ef8b7a11879e89aec94753de4ed16ab109a095ae7c3f162e0294a4 target_unique=0
source_only epoch=28/50 source_MSE=88.807620 gram=0.000000 source_order_sha256=766ee53e5b647971064d41d558697125af3024954366a7dceceda18047f20be5 target_unique=0
source_only epoch=29/50 source_MSE=54.823427 gram=0.000000 source_order_sha256=2ce6bcc6ee91ddf33a5a09373efc6447c4920229399d612ca88d591aa6a3e42c target_unique=0
source_only epoch=30/50 source_MSE=38.427033 gram=0.000000 source_order_sha256=c0cab29f20c785d42e00eeb2389f57ccc595b010ee7dfa8d3c61c55ee7760273 target_unique=0
source_only epoch=31/50 source_MSE=45.929020 gram=0.000000 source_order_sha256=f00ca77b56e790d87d5a5ea31de512dc358a344780f5255e5ef1fc7b66aa15af target_unique=0
source_only epoch=32/50 source_MSE=44.098155 gram=0.000000 source_order_sha256=3f06f862c46e368ea2349b46dca04dde0fbc0f43dddafed344bbf7e8cf9da0d3 target_unique=0
source_only epoch=33/50 source_MSE=23.334664 gram=0.000000 source_order_sha256=c568cdfdf8682817170b018d20f4627ce732e0574cf17d1189cda617c9962b09 target_unique=0
source_only epoch=34/50 source_MSE=30.796319 gram=0.000000 source_order_sha256=5a70530ab8164e4ea4a642d044e73c843e6a65b5d0e4b9bc5805b584840b6a7b target_unique=0
source_only epoch=35/50 source_MSE=33.991386 gram=0.000000 source_order_sha256=d849e7e630af00ffdce4ca2a38ba1f49055ed79d17fa6d8aa9f0501ca27e80ff target_unique=0
source_only epoch=36/50 source_MSE=23.791367 gram=0.000000 source_order_sha256=64976acf8b883f194413c29e321163b13538018d6076a9af3bc92adf35a51071 target_unique=0
source_only epoch=37/50 source_MSE=31.261834 gram=0.000000 source_order_sha256=ca7a6eb23b073ede6a6a9e33de776bcab197279c9653eea46ddab183e545b171 target_unique=0
source_only epoch=38/50 source_MSE=38.731191 gram=0.000000 source_order_sha256=6adbe4b78552a32b8f34296f469f4ca67018c742884f3da8c32db204c908a847 target_unique=0
source_only epoch=39/50 source_MSE=30.876700 gram=0.000000 source_order_sha256=c6ef91fa8be2fc3085d7ac89ce05cc4c456e184ef8a8bb359ee69caab02ca704 target_unique=0
source_only epoch=40/50 source_MSE=15.424579 gram=0.000000 source_order_sha256=325f35213535cb4b2011c636483abfc25685837ce7fb4d33c833b8e8d48e5ee0 target_unique=0
source_only epoch=41/50 source_MSE=30.052404 gram=0.000000 source_order_sha256=c63120c5093366c733071f21e68ec691bd3ae12f9082d3a8421a9112f8d67ced target_unique=0
source_only epoch=42/50 source_MSE=46.276410 gram=0.000000 source_order_sha256=0091fe36b0e39889cd3cd5f592b2feefe6484e5d7474bd8b60db5285831dec3d target_unique=0
source_only epoch=43/50 source_MSE=30.194833 gram=0.000000 source_order_sha256=73cc523c16ee53eada7702cbe71a8ac3a425ed16a42235be6b9dfb00ecd7b69d target_unique=0
source_only epoch=44/50 source_MSE=40.638836 gram=0.000000 source_order_sha256=b795790825fa91e95a271cc643c636542621ba64a4649852c8c6b17398e7320a target_unique=0
source_only epoch=45/50 source_MSE=16.824841 gram=0.000000 source_order_sha256=7011f0e2b261954111df9196f330da8a59e4b8611c183a6f3c7e135432ff8f49 target_unique=0
source_only epoch=46/50 source_MSE=59.201865 gram=0.000000 source_order_sha256=dba6243f657041675b1b6efc66bd84b48db99899b0851496d0966575f82eec0c target_unique=0
source_only epoch=47/50 source_MSE=32.302983 gram=0.000000 source_order_sha256=de051c058bcfd923f2721fbe0ac7edc51f4f43cc9a2d11952d920eb3420b41d8 target_unique=0
source_only epoch=48/50 source_MSE=18.186588 gram=0.000000 source_order_sha256=e76d87aae1e181c43d51ee685f550a53f7a51a1d0359a2563962770b10454ec0 target_unique=0
source_only epoch=49/50 source_MSE=15.717107 gram=0.000000 source_order_sha256=df325a104b34f36e14801c79722c4728d42efd0e8b67375ebd2440ce2257c8e2 target_unique=0
source_only epoch=50/50 source_MSE=36.123607 gram=0.000000 source_order_sha256=a25095d7fa03e3cdd7482f5d8ff642cbcc6c98c99212f7893289916840ba4fad target_unique=0
Saved final epoch checkpoint: artifacts\norm_comparison_20260925\zscore\c4_to_c1\seed_45\source_only\final.pth
