Start daregram c6->c1 seed=44 init_sha256=89dfa364cd019ad173319c7a8f775c661ec83f1938e80b69a1848714796075c4
daregram epoch=21/50 source_MSE=2058.188623 gram=85.663559 source_order_sha256=1b882e7da9f3c105e8cbcb5363706b7d3967ad0f366ff45e96a5044aa7fc28ce target_unique=315
daregram epoch=22/50 source_MSE=1685.641284 gram=47.967775 source_order_sha256=97417e0867d404037a07a78ca83dea596428245191207d2b1aee4c2cab2f446b target_unique=315
daregram epoch=23/50 source_MSE=1341.162732 gram=42.749453 source_order_sha256=786697b0ecfaf0de92a7b8aa2e7c3da62253a8f7dc13e32119d64529da4245f2 target_unique=315
daregram epoch=24/50 source_MSE=1069.661206 gram=62.736385 source_order_sha256=f6f69b2cb88fcfec4ce16239a3e3f99117ae938034a07bafe5a83c6fbb3d00ef target_unique=315
daregram epoch=25/50 source_MSE=843.246582 gram=15.768557 source_order_sha256=f30f6f7bdafe8c7d85245649c32b28dce7531c872bf82d5003175a733f191fc1 target_unique=315
daregram epoch=26/50 source_MSE=643.965991 gram=20.147615 source_order_sha256=9c4c12430b8b983a23b015eb88d9acb15a68160b2b76b3e5a48afb74667637af target_unique=315
daregram epoch=27/50 source_MSE=544.430408 gram=31.550709 source_order_sha256=91028039ca81432afa4f8e92dc2c66cc6bb927b03e89dd1d6ac22012595b7df3 target_unique=315
daregram epoch=28/50 source_MSE=389.688177 gram=24.123400 source_order_sha256=d689825f6f08757dda6e3ad569687251d2ee91585d1fcf22c0d1a335409a12ee target_unique=315
daregram epoch=29/50 source_MSE=319.196072 gram=38.619958 source_order_sha256=cd685e0666a14a81ffdca359777ec83d12a0897d6785501cb3d57bde2e5b0078 target_unique=315
daregram epoch=30/50 source_MSE=248.444012 gram=27.194527 source_order_sha256=14e8d20d6a62e085b251215652479aa7e93108f7823be09a65c7c4fb61382a63 target_unique=315
daregram epoch=31/50 source_MSE=216.653558 gram=32.840041 source_order_sha256=825c68c2cc8fb233306c23f931f2dd69bbe34849326b573bc22a21a0aa495100 target_unique=315
daregram epoch=32/50 source_MSE=114.252551 gram=23.655763 source_order_sha256=bc5bbb79413fec48b46bdad14da01be62d8598fd0f20889daa9540e6dfad00f8 target_unique=315
daregram epoch=33/50 source_MSE=124.999043 gram=20.834971 source_order_sha256=0eb1804a2dbcd64afa1c7cfe22eff0def5e444a40ef3a7bc30bbb1167608fd91 target_unique=315
daregram epoch=34/50 source_MSE=111.209000 gram=13.731840 source_order_sha256=57b75c4082570155702a684f516fd0f1b6b0bc090f81d4d175c738e36d3f9a7c target_unique=315
daregram epoch=35/50 source_MSE=68.738509 gram=5.827890 source_order_sha256=719a401b4e74a3a2e427da255f507743b77e550e34c9410f57b9e129e8cf3d80 target_unique=315
daregram epoch=36/50 source_MSE=69.632346 gram=26.409884 source_order_sha256=0faa198d53a6e97178d4db2e1430bec3b859cb58bac53ab3c0421aa264f4ff63 target_unique=315
daregram epoch=37/50 source_MSE=68.841861 gram=22.774164 source_order_sha256=18f168ed60342aae13340285db598369fdb37ad3e7282d2d8aed149620ef5ee5 target_unique=315
daregram epoch=38/50 source_MSE=51.295386 gram=17.427334 source_order_sha256=777e0afb2f89f539c49283805b41fff13cded9522df0fe0cf3dce6e13bd6883a target_unique=315
daregram epoch=39/50 source_MSE=33.262107 gram=27.279999 source_order_sha256=e61f1a07c527242059de0223d97a1599158e32ecadb43d33b0c1608c7a535230 target_unique=315
daregram epoch=40/50 source_MSE=36.461758 gram=35.231332 source_order_sha256=feefeb0c6281d3cf4c56116b93aafeeedcc9eb0b7c1182af3b83a3bbddd291c0 target_unique=315
daregram epoch=41/50 source_MSE=45.653608 gram=11.650498 source_order_sha256=da39e997627fd9df15e35f453ee5afc648418a6e2e5b43be7f6a0d3d85778615 target_unique=315
daregram epoch=42/50 source_MSE=46.380111 gram=19.002863 source_order_sha256=86a04d9ecafc9ea121a41b1fc57cbe2b4803235922772183f6c093397395e72b target_unique=315
daregram epoch=43/50 source_MSE=35.077694 gram=14.669501 source_order_sha256=43938ced2426fc5b171f3f093562d9e44ab35152ce2e8599df6a101b4a24e7f3 target_unique=315
daregram epoch=44/50 source_MSE=32.227993 gram=11.898252 source_order_sha256=980c3b10764cfe66bd75d55694b18d6228528012da2c04821f9724905356bb8f target_unique=315
daregram epoch=45/50 source_MSE=56.104814 gram=18.253264 source_order_sha256=237ee7c8cb3463980d67fb4e2ce4ee168d6fe92902602fa8c9a0d20755c0754b target_unique=315
daregram epoch=46/50 source_MSE=40.935525 gram=17.209490 source_order_sha256=bf28b1ffddd77c42143a382643f655ea9fd8519980f940abda893793edb32d6b target_unique=315
daregram epoch=47/50 source_MSE=35.844602 gram=22.231832 source_order_sha256=a1269fc3ab53234a64756ce67a14521ef4043e6ed3a802b2fd8469015902b660 target_unique=315
daregram epoch=48/50 source_MSE=39.411649 gram=12.295260 source_order_sha256=113f46106983c073d92c17f0c31b3b6733bd68a8e7b02b9a85e8bc435614e3a5 target_unique=315
daregram epoch=49/50 source_MSE=71.891409 gram=15.245435 source_order_sha256=02879090ebe325b33e9efff035dd12e9259b3c2645620fe3d977511325887cc1 target_unique=315
daregram epoch=50/50 source_MSE=71.621371 gram=22.605666 source_order_sha256=9e96f322765122531801b69ea9eb5473d8e580d44633423ff353d2d37c6aae0e target_unique=315
Saved final epoch checkpoint: artifacts\norm_comparison_20260925\zscore\c6_to_c1\seed_44\daregram\final.pth
