Start daregram c4->c1 seed=44 init_sha256=89dfa364cd019ad173319c7a8f775c661ec83f1938e80b69a1848714796075c4
daregram epoch=1/50 source_MSE=11018.880273 gram=23.126729 source_order_sha256=59bfcbf6051bd926f7f3785471f455c49b4b10a74bfe01e32c1d67682c63dc4f target_unique=315
daregram epoch=2/50 source_MSE=9801.603320 gram=34.428149 source_order_sha256=0ac560bfcb444211037a9a7d59aed95f3919c2bf54a14d9e4145b228437420d4 target_unique=315
daregram epoch=3/50 source_MSE=9140.670703 gram=28.700020 source_order_sha256=db748945ab47cb5cfa2e71f3bc2d7299e7541c35081174abd78d403135977eba target_unique=315
daregram epoch=4/50 source_MSE=8500.802344 gram=41.677340 source_order_sha256=1582ef3106a15a344390e2abd10ca5ed8f72a4d37449c7babee3238f7547edb4 target_unique=315
daregram epoch=5/50 source_MSE=7926.875000 gram=20.313459 source_order_sha256=080734e2c6419fa2f45cb3fc366d77af252f8393ff69cff18e66ee20946a75bc target_unique=315
daregram epoch=6/50 source_MSE=7277.987891 gram=36.876661 source_order_sha256=a66d204c747a526a7505a23383f5a424406aafe9772c33b27211e085c531231e target_unique=315
daregram epoch=7/50 source_MSE=6751.335254 gram=44.281103 source_order_sha256=cf51679d1d44835535bf8ed948dcb3bd8c77bffe971c9c54c8e3fdd1b7c03558 target_unique=315
daregram epoch=8/50 source_MSE=6119.574121 gram=38.692223 source_order_sha256=47f50d37548c2abcb38aeb5d81933b5268f60e6dfc5152c19eb8afa9422fef89 target_unique=315
daregram epoch=9/50 source_MSE=5580.006152 gram=20.257453 source_order_sha256=9694a6b88426d6ca65830e51ea075104b8b7b994587790e9311a50a3e13cc017 target_unique=315
daregram epoch=10/50 source_MSE=4927.157324 gram=29.655910 source_order_sha256=7c950da3a5093c62a5770637e0866c5d16d734121906f4eb33e704848df3be26 target_unique=315
daregram epoch=11/50 source_MSE=4310.016211 gram=43.868975 source_order_sha256=4cba05bc77c379eb900c7b60ba56f43181c22900189067e2e791f7825b766545 target_unique=315
daregram epoch=12/50 source_MSE=3876.816455 gram=29.202308 source_order_sha256=77d2ac0c000a842ae8d8d374584cd7a1eae83492b895c237914af8a34acf9752 target_unique=315
