Start norm=minmax c6->c1 seed=46
Start source_only c6->c1 seed=46 init_sha256=f7a36f8ae49613bd5ba814e2562826bc0ad4fcc2564cc749136e9ff2fb9b7b48
source_only epoch=1/50 source_MSE=17404.668945 gram=0.000000 source_order_sha256=b43c0eef61b4e2937159fac825ec4b0f0a309d4960d906437b9a519e6314dc6c target_unique=0
source_only epoch=2/50 source_MSE=15909.843750 gram=0.000000 source_order_sha256=99e91673c9feab027e5126b8302b20895d3ffde1bdf83be9302a3f9bbe93e08d target_unique=0
source_only epoch=3/50 source_MSE=15049.213281 gram=0.000000 source_order_sha256=b65fc12cba49c982d9ecf9f0a10a1d9b4d81386d3493ee99fbfd30c2031e7f73 target_unique=0
source_only epoch=4/50 source_MSE=14244.398242 gram=0.000000 source_order_sha256=76b9ee75936b122b271363d3028f0f88b807f9128d5adfb560251ceb86065543 target_unique=0
source_only epoch=5/50 source_MSE=13498.373047 gram=0.000000 source_order_sha256=99490cea6e8182bf6b503954a78f1bd1a2f2b575a3e5d4238faacfc93c13b5db target_unique=0
source_only epoch=6/50 source_MSE=12694.831250 gram=0.000000 source_order_sha256=9200796bb2ff3431788082628225880b3cb77c9db57c8ea477b074826ecd2f81 target_unique=0
source_only epoch=7/50 source_MSE=11926.565625 gram=0.000000 source_order_sha256=ffd15ac5dc21321afdb33089fb78b037f6c07b87fc26288aab398b36803673e7 target_unique=0
source_only epoch=8/50 source_MSE=11199.866406 gram=0.000000 source_order_sha256=d18275e177651f2a0cfa59d892caae0b63cb0ffe768fa4adb74d975e4020b2dd target_unique=0
source_only epoch=9/50 source_MSE=10341.233594 gram=0.000000 source_order_sha256=43ddd19b9d661c67110dc98bec5d479bde043466f0fbfb11c654e30a67daeac1 target_unique=0
source_only epoch=10/50 source_MSE=9510.618555 gram=0.000000 source_order_sha256=7a4972e352e43835d81aeed873faf0ac2790b55f82b1d7c27898fe428cdba1e3 target_unique=0
source_only epoch=11/50 source_MSE=8689.209277 gram=0.000000 source_order_sha256=2ab7187c2d4e00df75fc341597f0517fcb609530715f718a3aad71c6c62d4d30 target_unique=0
source_only epoch=12/50 source_MSE=7874.639063 gram=0.000000 source_order_sha256=7ee0eb021dd01bb796044e1c09a819d5708f61f8c4a5539cd750793289a26533 target_unique=0
source_only epoch=13/50 source_MSE=7124.851465 gram=0.000000 source_order_sha256=1231b54c2d6a872464c797107d5b2e0d845a3ea620a9503768c83af4d80b1c61 target_unique=0
source_only epoch=14/50 source_MSE=6254.543164 gram=0.000000 source_order_sha256=649ac453467c96e6fc1e6d99943847f91d89e1dfbfdf7b9cf37ffb42a43a41b3 target_unique=0
source_only epoch=15/50 source_MSE=5455.454980 gram=0.000000 source_order_sha256=410d3dda655a7be694b54a1a11493bd0b89bec4c745ec41b734e4589201ab1b5 target_unique=0
source_only epoch=16/50 source_MSE=4773.548633 gram=0.000000 source_order_sha256=0ac6f08bde12fa9a2315b46c83641b67a18abd8bffa3274a278dd14105c4d693 target_unique=0
