Start daregram c4->c6 seed=45 init_sha256=ccb4fb1bf1dce88827f3fc8d16d3739d815ab71d6094bb1f9471cf991982c13d
daregram epoch=36/50 source_MSE=24.468965 gram=13.250973 source_order_sha256=64976acf8b883f194413c29e321163b13538018d6076a9af3bc92adf35a51071 target_unique=315
daregram epoch=37/50 source_MSE=32.618714 gram=18.769689 source_order_sha256=ca7a6eb23b073ede6a6a9e33de776bcab197279c9653eea46ddab183e545b171 target_unique=315
daregram epoch=38/50 source_MSE=50.030847 gram=5.034412 source_order_sha256=6adbe4b78552a32b8f34296f469f4ca67018c742884f3da8c32db204c908a847 target_unique=315
daregram epoch=39/50 source_MSE=47.671004 gram=18.212017 source_order_sha256=c6ef91fa8be2fc3085d7ac89ce05cc4c456e184ef8a8bb359ee69caab02ca704 target_unique=315
daregram epoch=40/50 source_MSE=36.069937 gram=19.283032 source_order_sha256=325f35213535cb4b2011c636483abfc25685837ce7fb4d33c833b8e8d48e5ee0 target_unique=315
daregram epoch=41/50 source_MSE=39.736472 gram=25.740646 source_order_sha256=c63120c5093366c733071f21e68ec691bd3ae12f9082d3a8421a9112f8d67ced target_unique=315
daregram epoch=42/50 source_MSE=67.036032 gram=21.279722 source_order_sha256=0091fe36b0e39889cd3cd5f592b2feefe6484e5d7474bd8b60db5285831dec3d target_unique=315
daregram epoch=43/50 source_MSE=47.007856 gram=14.098789 source_order_sha256=73cc523c16ee53eada7702cbe71a8ac3a425ed16a42235be6b9dfb00ecd7b69d target_unique=315
daregram epoch=44/50 source_MSE=61.105552 gram=18.655124 source_order_sha256=b795790825fa91e95a271cc643c636542621ba64a4649852c8c6b17398e7320a target_unique=315
daregram epoch=45/50 source_MSE=24.392655 gram=11.284141 source_order_sha256=7011f0e2b261954111df9196f330da8a59e4b8611c183a6f3c7e135432ff8f49 target_unique=315
daregram epoch=46/50 source_MSE=72.981379 gram=14.420267 source_order_sha256=dba6243f657041675b1b6efc66bd84b48db99899b0851496d0966575f82eec0c target_unique=315
daregram epoch=47/50 source_MSE=39.423640 gram=10.649344 source_order_sha256=de051c058bcfd923f2721fbe0ac7edc51f4f43cc9a2d11952d920eb3420b41d8 target_unique=315
daregram epoch=48/50 source_MSE=22.313521 gram=21.852223 source_order_sha256=e76d87aae1e181c43d51ee685f550a53f7a51a1d0359a2563962770b10454ec0 target_unique=315
daregram epoch=49/50 source_MSE=10.320017 gram=12.562712 source_order_sha256=df325a104b34f36e14801c79722c4728d42efd0e8b67375ebd2440ce2257c8e2 target_unique=315
daregram epoch=50/50 source_MSE=38.683489 gram=16.225570 source_order_sha256=a25095d7fa03e3cdd7482f5d8ff642cbcc6c98c99212f7893289916840ba4fad target_unique=315
Saved final epoch checkpoint: artifacts\norm_comparison_20260925\minmax\c4_to_c6\seed_45\daregram\final.pth
