Start daregram c4->c6 seed=43 init_sha256=96faf07f9c746309bc7074a67eb7c81d643a13c859613ef4c885efa350234658
daregram epoch=1/50 source_MSE=10985.776172 gram=8.982081 source_order_sha256=539e80195b2f14026ec86d86537d720b6d259565890ee2e531527dc0fa123cb1 target_unique=315
daregram epoch=2/50 source_MSE=9773.998047 gram=23.191858 source_order_sha256=d6ef35ea5b7a94352550a780913a54e3c247002e2872fc027e7f9d55bc205bbb target_unique=315
daregram epoch=3/50 source_MSE=9111.416406 gram=35.760205 source_order_sha256=7afb4552282d8c8fa0c8e75fbf952fd6de5c6cd88e7e8cb31b12207a0fc7f494 target_unique=315
daregram epoch=4/50 source_MSE=8520.842871 gram=31.049333 source_order_sha256=fa178434bc9deecfee6405aef03b8291afa7415ec358855f05ea45102e81ad8d target_unique=315
daregram epoch=5/50 source_MSE=7927.651758 gram=50.140404 source_order_sha256=5e164424c6e68214a39cabc634757f9cf4891255e93455eec44d3a4daa8268d2 target_unique=315
daregram epoch=6/50 source_MSE=7348.590332 gram=27.862789 source_order_sha256=54014b36755c60cc5ed4c70b88ff4424d7f3399b25fee900dd9219bdd8d01ccf target_unique=315
daregram epoch=7/50 source_MSE=6742.703516 gram=51.380289 source_order_sha256=c11bf88820e7a58c1abdcf342b0065e659924b3c315efb167ce15b652a661157 target_unique=315
daregram epoch=8/50 source_MSE=6135.279297 gram=58.072572 source_order_sha256=4181dfb43f992c4a06146e9614d0cbfd198a5ccad2b05553393e570fd2d31e7c target_unique=315
daregram epoch=9/50 source_MSE=5539.751172 gram=67.639513 source_order_sha256=bfa578d5160e2ee400e2951c7a467294fbef2735ad25f7d9269abb2d54998854 target_unique=315
daregram epoch=10/50 source_MSE=4952.770361 gram=42.201294 source_order_sha256=f9df6b54e1710902e7dc7a8407f5e0235665a9adcd05d0cb5774167618d58497 target_unique=315
daregram epoch=11/50 source_MSE=4329.969043 gram=71.376319 source_order_sha256=6f2bd76d1350f6b6223394f66332f99a5c081f9244049edc16386e8a06040741 target_unique=315
daregram epoch=12/50 source_MSE=3771.942090 gram=45.059683 source_order_sha256=b823650a7f7cf5754b70ff64bc7e0c76990beeedc54e5bd53616c69077afe061 target_unique=315
daregram epoch=13/50 source_MSE=3297.184741 gram=33.519112 source_order_sha256=05f8cbe1caba7add07418c70d86e955749da48365a99b3b04e531098b9c71a96 target_unique=315
daregram epoch=14/50 source_MSE=2815.437012 gram=38.845773 source_order_sha256=12667572e52c498d3dbad9da7dfb9a7cda196484d7521bdc0eb6e896c750924f target_unique=315
daregram epoch=15/50 source_MSE=2381.597461 gram=31.510593 source_order_sha256=3d283f07188e66796b78c70effdc331fef857ffc14a83082a449b9d9b183c1e3 target_unique=315
daregram epoch=16/50 source_MSE=1898.586401 gram=24.436503 source_order_sha256=bf61d05d1aa558b80d1841039e50cdedf9454e17304f9ea67b3224e2c8ee2d06 target_unique=315
daregram epoch=17/50 source_MSE=1540.083423 gram=43.464268 source_order_sha256=14b8f93bfe6644a7ac9d008caf65be69c693bcd19c3920c3a4aeed65e50fcb44 target_unique=315
daregram epoch=18/50 source_MSE=1279.435132 gram=34.475233 source_order_sha256=8fd60e1de19d5f1849ec5e7195d5b81eb6acf0db952647c04be6e6401944f1b6 target_unique=315
daregram epoch=19/50 source_MSE=1005.320691 gram=14.574691 source_order_sha256=8c7ad184b28f1a1d62a29481d69313bc76c48032d383b46cbda4f5b745daafc2 target_unique=315
daregram epoch=20/50 source_MSE=789.943134 gram=47.673616 source_order_sha256=39c8a8e648b1a18b896b4ad71800ed9efe143f6ca3ca33da6a73d275cca828f9 target_unique=315
daregram epoch=21/50 source_MSE=585.430463 gram=25.503956 source_order_sha256=013c8064ce031969c0c265a544dfe28453c4a6c2edc3d5fa0dd2fc018b1319e8 target_unique=315
daregram epoch=22/50 source_MSE=424.859912 gram=32.909156 source_order_sha256=6268792b1eebd4ca1f63598a992f0b25edc352b253248f22b2531416c75d92f8 target_unique=315
daregram epoch=23/50 source_MSE=314.213235 gram=26.986180 source_order_sha256=beee10ae93d7dd39cd09bd3c612d8b0981fd53ef3d357b9a7ddc13970431f549 target_unique=315
daregram epoch=24/50 source_MSE=234.446457 gram=29.792494 source_order_sha256=c2826ca971041ea14943dac7135a7186ecc0a75a9fa232468fe32217dafef427 target_unique=315
daregram epoch=25/50 source_MSE=175.949217 gram=41.720997 source_order_sha256=4a59f5611f45bf663fa17739adadbf71e0318d7c226a31110a0523b7b3fbb69e target_unique=315
daregram epoch=26/50 source_MSE=189.773314 gram=29.608363 source_order_sha256=3892a004ee89998c6d27f6fd3cbe301ee031797ffbe083138c3fba4772cec1ba target_unique=315
daregram epoch=27/50 source_MSE=150.461893 gram=42.572602 source_order_sha256=a20ed964add04ddb51aae0987e6a9153777b6dca202114dae162a9627e010899 target_unique=315
daregram epoch=28/50 source_MSE=123.189502 gram=25.807780 source_order_sha256=a1559945e237073de07c30a1546e61979a04de7a0eac2beb615d63cf5ec08219 target_unique=315
daregram epoch=29/50 source_MSE=86.423987 gram=13.111216 source_order_sha256=aa19bd88cffc0a568d2e293e975b9cd7916f42619abeeebbbf65b6f4976ea6a0 target_unique=315
daregram epoch=30/50 source_MSE=63.878825 gram=18.285191 source_order_sha256=b1966dceda9d33aa07e860c4a44569b0ea1b0f31f7aa556fc801f29266be3b05 target_unique=315
daregram epoch=31/50 source_MSE=101.222769 gram=28.098034 source_order_sha256=877fc6559c73bc6728b215bafb376bc1e9772c87a96e86c06dc1e4408b566dd5 target_unique=315
daregram epoch=32/50 source_MSE=69.055417 gram=12.760278 source_order_sha256=ad28e281637b76dbc0342ec0d452d1314f7d33a8d2f33bd25102d55d69233bc7 target_unique=315
daregram epoch=33/50 source_MSE=60.805238 gram=32.758045 source_order_sha256=bba2d40648539aed4c8a556f9125aacb5f06c54924fefe0795796deecace6db1 target_unique=315
daregram epoch=34/50 source_MSE=33.491966 gram=30.995933 source_order_sha256=d35054ccd5975d2d05fe63c9637594cfa660655f27fd0743c41550f87133fc1a target_unique=315
daregram epoch=35/50 source_MSE=29.978566 gram=24.566923 source_order_sha256=14e52c9c732e8ea3bc0443090957f73d5b619d22dc6f07c28121244343c44491 target_unique=315
daregram epoch=36/50 source_MSE=38.192361 gram=26.529521 source_order_sha256=ef32e514c0d482d2437c2e867ade072a1ce38e96d0d21719d7f3a3ad2c99aa95 target_unique=315
daregram epoch=37/50 source_MSE=23.894920 gram=4.960563 source_order_sha256=7d0e00a6ab593ed985877c2bd398d7c047f2a1e99448b6d442e800d41023b3f8 target_unique=315
daregram epoch=38/50 source_MSE=25.358527 gram=18.709351 source_order_sha256=76071b765954ca0fb781276e809df2ea629a884f69aa4c9082cdfb21e307c94f target_unique=315
daregram epoch=39/50 source_MSE=83.313039 gram=18.371267 source_order_sha256=ba7daba61d8c533d04709c6517830527887bd2dfb0b10a4dce62f013d6172ac4 target_unique=315
daregram epoch=40/50 source_MSE=51.685054 gram=13.872730 source_order_sha256=ac5d619c1b52be9946c6783c5c1d4d18df9f8d6988f0eedf47a8358f2d73d09b target_unique=315
daregram epoch=41/50 source_MSE=36.149792 gram=21.679501 source_order_sha256=483263e60ff55979bdfbf5ded3a2399cc4257f0d2ced6fbee8f213677f4aa982 target_unique=315
daregram epoch=42/50 source_MSE=18.176194 gram=13.781716 source_order_sha256=829e52314b41e9ba4571b45d34314913f9f98d0f5363e7c86fab7c8c41a0198a target_unique=315
daregram epoch=43/50 source_MSE=102.983433 gram=10.003382 source_order_sha256=0d5cedff5ae4c887b6007df47594397e6ed6d31eaa45c15c37b4135415e8ca52 target_unique=315
daregram epoch=44/50 source_MSE=76.195916 gram=23.189417 source_order_sha256=fd0939daeab2ee4a377b0db36ef686326d85bfeb84dfab5b8fef2cbf304498fa target_unique=315
daregram epoch=45/50 source_MSE=42.109531 gram=15.182093 source_order_sha256=170be14adc7ea6ef47f65d533b7c2faa3ea88b80a3d0298a05674cc44d16b5c4 target_unique=315
daregram epoch=46/50 source_MSE=25.949391 gram=10.829502 source_order_sha256=ac23b152eac04c95af05f7b453aad90d025363d987f674439bf5002ffa5b5858 target_unique=315
daregram epoch=47/50 source_MSE=32.170660 gram=7.520988 source_order_sha256=b764fb330004077345ccc05e9ada213cadacdf8c6b899cdc6ca9e7ad4b44e6d4 target_unique=315
daregram epoch=48/50 source_MSE=20.390188 gram=6.995068 source_order_sha256=0cac558a3718ec8e5b72247e0340b08c24ad95b196ce8eb890739eb2af1093ac target_unique=315
daregram epoch=49/50 source_MSE=28.013464 gram=5.232001 source_order_sha256=406404fb92f4aad5d2a78fd4ff2d38527bfc4d058c36a2530d17bc9becf36a0b target_unique=315
daregram epoch=50/50 source_MSE=48.148982 gram=18.783646 source_order_sha256=b780ce8227d2bb3cf1653e7aa39d72cf1675583e631d78882555251830271447 target_unique=315
Saved final epoch checkpoint: artifacts\norm_comparison_20260925\minmax\c4_to_c6\seed_43\daregram\final.pth
