Start norm=minmax c6->c4 seed=43
Start source_only c6->c4 seed=43 init_sha256=96faf07f9c746309bc7074a67eb7c81d643a13c859613ef4c885efa350234658
source_only epoch=36/50 source_MSE=83.766071 gram=0.000000 source_order_sha256=ef32e514c0d482d2437c2e867ade072a1ce38e96d0d21719d7f3a3ad2c99aa95 target_unique=0
source_only epoch=37/50 source_MSE=52.660786 gram=0.000000 source_order_sha256=7d0e00a6ab593ed985877c2bd398d7c047f2a1e99448b6d442e800d41023b3f8 target_unique=0
source_only epoch=38/50 source_MSE=48.723772 gram=0.000000 source_order_sha256=76071b765954ca0fb781276e809df2ea629a884f69aa4c9082cdfb21e307c94f target_unique=0
source_only epoch=39/50 source_MSE=90.258070 gram=0.000000 source_order_sha256=ba7daba61d8c533d04709c6517830527887bd2dfb0b10a4dce62f013d6172ac4 target_unique=0
source_only epoch=40/50 source_MSE=18.278855 gram=0.000000 source_order_sha256=ac5d619c1b52be9946c6783c5c1d4d18df9f8d6988f0eedf47a8358f2d73d09b target_unique=0
source_only epoch=41/50 source_MSE=39.020417 gram=0.000000 source_order_sha256=483263e60ff55979bdfbf5ded3a2399cc4257f0d2ced6fbee8f213677f4aa982 target_unique=0
source_only epoch=42/50 source_MSE=14.021867 gram=0.000000 source_order_sha256=829e52314b41e9ba4571b45d34314913f9f98d0f5363e7c86fab7c8c41a0198a target_unique=0
source_only epoch=43/50 source_MSE=96.985986 gram=0.000000 source_order_sha256=0d5cedff5ae4c887b6007df47594397e6ed6d31eaa45c15c37b4135415e8ca52 target_unique=0
source_only epoch=44/50 source_MSE=110.137377 gram=0.000000 source_order_sha256=fd0939daeab2ee4a377b0db36ef686326d85bfeb84dfab5b8fef2cbf304498fa target_unique=0
source_only epoch=45/50 source_MSE=62.326614 gram=0.000000 source_order_sha256=170be14adc7ea6ef47f65d533b7c2faa3ea88b80a3d0298a05674cc44d16b5c4 target_unique=0
source_only epoch=46/50 source_MSE=41.498934 gram=0.000000 source_order_sha256=ac23b152eac04c95af05f7b453aad90d025363d987f674439bf5002ffa5b5858 target_unique=0
source_only epoch=47/50 source_MSE=39.896037 gram=0.000000 source_order_sha256=b764fb330004077345ccc05e9ada213cadacdf8c6b899cdc6ca9e7ad4b44e6d4 target_unique=0
source_only epoch=48/50 source_MSE=40.019480 gram=0.000000 source_order_sha256=0cac558a3718ec8e5b72247e0340b08c24ad95b196ce8eb890739eb2af1093ac target_unique=0
source_only epoch=49/50 source_MSE=49.057834 gram=0.000000 source_order_sha256=406404fb92f4aad5d2a78fd4ff2d38527bfc4d058c36a2530d17bc9becf36a0b target_unique=0
