Start daregram c4->c6 seed=46 init_sha256=f7a36f8ae49613bd5ba814e2562826bc0ad4fcc2564cc749136e9ff2fb9b7b48
daregram epoch=34/50 source_MSE=34.057131 gram=8.955250 source_order_sha256=26fb9d8ade12e39eb6d29de095657d8167d0990aaf65fa29fe51aa63e1d070bb target_unique=315
daregram epoch=35/50 source_MSE=31.121878 gram=15.417093 source_order_sha256=b33c1dcbcfbb1359ba8014a0ccc2558bc8122791f45011a2392af5dc126773ec target_unique=315
daregram epoch=36/50 source_MSE=42.348213 gram=14.956183 source_order_sha256=3570f4c448082ba2bb1c483f49e0037053aa7e61383d7d1aceb58e887d4e3059 target_unique=315
daregram epoch=37/50 source_MSE=48.912529 gram=9.113647 source_order_sha256=fae30d267d8a739def121ea5250cfff9001d87dfb0616d0e23cb70ece64bd03d target_unique=315
daregram epoch=38/50 source_MSE=65.898214 gram=8.640697 source_order_sha256=8101cd9fe59adb7821243662b08492e4d12a6f6baf0d39c61f2d0a1ec3f78fcb target_unique=315
daregram epoch=39/50 source_MSE=41.213215 gram=11.839853 source_order_sha256=4c4648d71a519d8f0322b43e3549a95e79979b8c9c8aacb7ee567d231b1a1b87 target_unique=315
daregram epoch=40/50 source_MSE=68.900118 gram=14.482133 source_order_sha256=7f67143d17b4c6d7ca2bb9a5274f71e73a57628319f4ad8d79dc443ad05d9709 target_unique=315
daregram epoch=41/50 source_MSE=44.631712 gram=8.411275 source_order_sha256=290bb2d929e2e87c73d15343a24f9940275ffecd0af1626c6cdfb2648d6f8638 target_unique=315
daregram epoch=42/50 source_MSE=68.053657 gram=17.764044 source_order_sha256=b70c91332029c18e8e2ae7c0337443d8806c0ef60f9c1fc48313aab168272689 target_unique=315
daregram epoch=43/50 source_MSE=27.702673 gram=13.638397 source_order_sha256=d413266be36c0512b14385a568e71e1f1569152d4b2db25368c04025ab1ce668 target_unique=315
daregram epoch=44/50 source_MSE=36.337697 gram=13.913760 source_order_sha256=e9b1011dec804903b42132101c448cc31b524f9307fbb047fa5a952e8053f47c target_unique=315
daregram epoch=45/50 source_MSE=45.319890 gram=17.445757 source_order_sha256=5197ae9a1d6430afdeb727920aed5c43628d0872d0fb153f6c730cf5b8aa028e target_unique=315
daregram epoch=46/50 source_MSE=27.313849 gram=10.293136 source_order_sha256=131a66417f4ba6bb4a03a727177bb1e42c0b1dc35cbdc9478dbaa3ee25249734 target_unique=315
daregram epoch=47/50 source_MSE=17.684559 gram=7.728310 source_order_sha256=50a71b1ad5a92b0514ffd25e8e9590fe656be97238adf96ef6bbbc3e62b7101b target_unique=315
daregram epoch=48/50 source_MSE=21.046273 gram=8.149628 source_order_sha256=52f79a349b1207b47449a87fde32a9e301d4ebe25e481101391c4e1642f9b7b5 target_unique=315
daregram epoch=49/50 source_MSE=20.938712 gram=9.692349 source_order_sha256=d7899aea879777ed996823025588b152e641a4d83e79180ce0c9f5837a87b7af target_unique=315
daregram epoch=50/50 source_MSE=18.361467 gram=4.962558 source_order_sha256=178577b9813c7e1fdd2aa57d877b499ba4740fbe194202af48079a889d9cbcca target_unique=315
Saved final epoch checkpoint: artifacts\norm_comparison_20260925\minmax\c4_to_c6\seed_46\daregram\final.pth
